"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20151113_20151127.csv"
"C","Report for: 11/13/2015 - 11/27/2015"
"C","Report generated: 06/30/2019 12:47:18 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","11/13/2015","01",11469.32
"D","11/13/2015","02",11144.96
"D","11/13/2015","03",10901.77
"D","11/13/2015","04",10861.34
"D","11/13/2015","05",11145.22
"D","11/13/2015","06",11857.86
"D","11/13/2015","07",12977.66
"D","11/13/2015","08",13700.81
"D","11/13/2015","09",13835.48
"D","11/13/2015","10",13849.15
"D","11/13/2015","11",13985.2
"D","11/13/2015","12",13968.97
"D","11/13/2015","13",13817.06
"D","11/13/2015","14",13912.58
"D","11/13/2015","15",13979.28
"D","11/13/2015","16",14044.47
"D","11/13/2015","17",14771.58
"D","11/13/2015","18",15608.16
"D","11/13/2015","19",15363.64
"D","11/13/2015","20",14851.4
"D","11/13/2015","21",14281.17
"D","11/13/2015","22",13444.12
"D","11/13/2015","23",12422.33
"D","11/13/2015","24",11715.9
"D","11/14/2015","01",11119.59
"D","11/14/2015","02",10687.79
"D","11/14/2015","03",10439.11
"D","11/14/2015","04",10332.9
"D","11/14/2015","05",10455.46
"D","11/14/2015","06",10905.78
"D","11/14/2015","07",11364.61
"D","11/14/2015","08",11877.63
"D","11/14/2015","09",12615.18
"D","11/14/2015","10",13036.97
"D","11/14/2015","11",13301.43
"D","11/14/2015","12",13337.14
"D","11/14/2015","13",13119.36
"D","11/14/2015","14",12863.79
"D","11/14/2015","15",12872.07
"D","11/14/2015","16",13202.81
"D","11/14/2015","17",14208.33
"D","11/14/2015","18",15244.14
"D","11/14/2015","19",15034.06
"D","11/14/2015","20",14599.98
"D","11/14/2015","21",14134.96
"D","11/14/2015","22",13474.91
"D","11/14/2015","23",12603.45
"D","11/14/2015","24",11716.14
"D","11/15/2015","01",11020.95
"D","11/15/2015","02",10560.14
"D","11/15/2015","03",10306.1
"D","11/15/2015","04",10464.01
"D","11/15/2015","05",10592.64
"D","11/15/2015","06",10897.82
"D","11/15/2015","07",11412.65
"D","11/15/2015","08",11766.88
"D","11/15/2015","09",12198.48
"D","11/15/2015","10",12607.25
"D","11/15/2015","11",12714.19
"D","11/15/2015","12",12809.25
"D","11/15/2015","13",12761.96
"D","11/15/2015","14",12608.46
"D","11/15/2015","15",12675.51
"D","11/15/2015","16",13112.09
"D","11/15/2015","17",14247.28
"D","11/15/2015","18",15209.89
"D","11/15/2015","19",15045.41
"D","11/15/2015","20",14421.42
"D","11/15/2015","21",14025.12
"D","11/15/2015","22",13075.87
"D","11/15/2015","23",11898.3
"D","11/15/2015","24",10925.35
"D","11/16/2015","01",10578.47
"D","11/16/2015","02",10479.82
"D","11/16/2015","03",10337.82
"D","11/16/2015","04",10383.16
"D","11/16/2015","05",10883.2
"D","11/16/2015","06",11594.15
"D","11/16/2015","07",13315.78
"D","11/16/2015","08",14287.97
"D","11/16/2015","09",14322.04
"D","11/16/2015","10",14138.0
"D","11/16/2015","11",13977.1
"D","11/16/2015","12",13943.42
"D","11/16/2015","13",13847.79
"D","11/16/2015","14",13897.38
"D","11/16/2015","15",13961.14
"D","11/16/2015","16",14190.84
"D","11/16/2015","17",15116.84
"D","11/16/2015","18",16241.53
"D","11/16/2015","19",16142.36
"D","11/16/2015","20",15698.72
"D","11/16/2015","21",15001.38
"D","11/16/2015","22",13910.55
"D","11/16/2015","23",12616.88
"D","11/16/2015","24",11776.49
"D","11/17/2015","01",11086.3
"D","11/17/2015","02",10751.76
"D","11/17/2015","03",10604.2
"D","11/17/2015","04",10658.61
"D","11/17/2015","05",11296.87
"D","11/17/2015","06",12155.3
"D","11/17/2015","07",13873.31
"D","11/17/2015","08",14761.88
"D","11/17/2015","09",14628.38
"D","11/17/2015","10",14335.31
"D","11/17/2015","11",14169.37
"D","11/17/2015","12",13974.16
"D","11/17/2015","13",13829.3
"D","11/17/2015","14",13854.1
"D","11/17/2015","15",13951.51
"D","11/17/2015","16",14315.66
"D","11/17/2015","17",15411.43
"D","11/17/2015","18",16577.26
"D","11/17/2015","19",16550.41
"D","11/17/2015","20",16210.12
"D","11/17/2015","21",15632.15
"D","11/17/2015","22",14599.13
"D","11/17/2015","23",13285.38
"D","11/17/2015","24",12163.99
"D","11/18/2015","01",11938.73
"D","11/18/2015","02",11649.8
"D","11/18/2015","03",11851.07
"D","11/18/2015","04",11994.82
"D","11/18/2015","05",12387.32
"D","11/18/2015","06",12780.7
"D","11/18/2015","07",14385.69
"D","11/18/2015","08",15256.34
"D","11/18/2015","09",15119.44
"D","11/18/2015","10",14868.27
"D","11/18/2015","11",14642.67
"D","11/18/2015","12",14418.94
"D","11/18/2015","13",14197.3
"D","11/18/2015","14",14206.98
"D","11/18/2015","15",14289.58
"D","11/18/2015","16",14600.56
"D","11/18/2015","17",15719.73
"D","11/18/2015","18",16618.81
"D","11/18/2015","19",16481.82
"D","11/18/2015","20",16096.5
"D","11/18/2015","21",15412.82
"D","11/18/2015","22",14347.22
"D","11/18/2015","23",12956.86
"D","11/18/2015","24",12040.19
"D","11/19/2015","01",11554.31
"D","11/19/2015","02",11239.04
"D","11/19/2015","03",11167.06
"D","11/19/2015","04",11272.78
"D","11/19/2015","05",11343.4
"D","11/19/2015","06",12121.51
"D","11/19/2015","07",13542.23
"D","11/19/2015","08",14514.56
"D","11/19/2015","09",14721.3
"D","11/19/2015","10",14802.37
"D","11/19/2015","11",14891.4
"D","11/19/2015","12",14899.83
"D","11/19/2015","13",14799.1
"D","11/19/2015","14",14806.96
"D","11/19/2015","15",14764.19
"D","11/19/2015","16",14942.86
"D","11/19/2015","17",15776.98
"D","11/19/2015","18",16332.86
"D","11/19/2015","19",16114.12
"D","11/19/2015","20",15656.48
"D","11/19/2015","21",14984.27
"D","11/19/2015","22",13901.35
"D","11/19/2015","23",12592.55
"D","11/19/2015","24",11535.61
"D","11/20/2015","01",11194.27
"D","11/20/2015","02",11005.05
"D","11/20/2015","03",10770.18
"D","11/20/2015","04",10688.86
"D","11/20/2015","05",10948.58
"D","11/20/2015","06",11654.59
"D","11/20/2015","07",13008.14
"D","11/20/2015","08",13885.21
"D","11/20/2015","09",14058.5
"D","11/20/2015","10",14013.85
"D","11/20/2015","11",13973.2
"D","11/20/2015","12",13841.2
"D","11/20/2015","13",13668.37
"D","11/20/2015","14",13663.8
"D","11/20/2015","15",13691.56
"D","11/20/2015","16",13882.34
"D","11/20/2015","17",14673.65
"D","11/20/2015","18",15524.72
"D","11/20/2015","19",15228.76
"D","11/20/2015","20",14782.37
"D","11/20/2015","21",14266.09
"D","11/20/2015","22",13493.29
"D","11/20/2015","23",12537.01
"D","11/20/2015","24",11720.33
"D","11/21/2015","01",11355.59
"D","11/21/2015","02",11137.67
"D","11/21/2015","03",10783.05
"D","11/21/2015","04",10832.98
"D","11/21/2015","05",11023.36
"D","11/21/2015","06",11270.21
"D","11/21/2015","07",11788.74
"D","11/21/2015","08",12303.53
"D","11/21/2015","09",13008.72
"D","11/21/2015","10",13233.16
"D","11/21/2015","11",13066.06
"D","11/21/2015","12",12881.48
"D","11/21/2015","13",12692.1
"D","11/21/2015","14",12583.59
"D","11/21/2015","15",12639.96
"D","11/21/2015","16",12974.14
"D","11/21/2015","17",14050.54
"D","11/21/2015","18",15036.42
"D","11/21/2015","19",14855.21
"D","11/21/2015","20",14436.89
"D","11/21/2015","21",14015.0
"D","11/21/2015","22",13367.38
"D","11/21/2015","23",12501.54
"D","11/21/2015","24",11625.38
"D","11/22/2015","01",11064.39
"D","11/22/2015","02",10624.24
"D","11/22/2015","03",10363.04
"D","11/22/2015","04",10739.86
"D","11/22/2015","05",10801.55
"D","11/22/2015","06",10899.7
"D","11/22/2015","07",11348.6
"D","11/22/2015","08",11789.48
"D","11/22/2015","09",12433.8
"D","11/22/2015","10",13006.51
"D","11/22/2015","11",13280.57
