"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20140607.csv"
"C","Report for: 06/07/2014 - 06/07/2014"
"C","Report generated: 07/03/2019 14:33:59 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","06/07/2014","01",10929.22
"D","06/07/2014","02",10539.29
"D","06/07/2014","03",10298.15
"D","06/07/2014","04",10230.04
"D","06/07/2014","05",10216.04
"D","06/07/2014","06",10293.7
"D","06/07/2014","07",10656.18
"D","06/07/2014","08",11594.07
"D","06/07/2014","09",12724.53
"D","06/07/2014","10",13502.22
"D","06/07/2014","11",14000.15
"D","06/07/2014","12",14307.33
"D","06/07/2014","13",14501.31
"D","06/07/2014","14",14543.98
"D","06/07/2014","15",14608.8
"D","06/07/2014","16",14745.85
"D","06/07/2014","17",14986.78
"D","06/07/2014","18",15174.97
"D","06/07/2014","19",15144.63
"D","06/07/2014","20",14937.51
"D","06/07/2014","21",14906.31
"D","06/07/2014","22",14751.28
"D","06/07/2014","23",13656.64
"D","06/07/2014","24",12441.71
"T","24 lines"
