"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20131209_20131223.csv"
"C","Report for: 12/09/2013 - 12/23/2013"
"C","Report generated: 06/30/2019 12:32:36 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","12/09/2013","01",13332.72
"D","12/09/2013","02",13095.65
"D","12/09/2013","03",13159.53
"D","12/09/2013","04",13034.67
"D","12/09/2013","05",13373.41
"D","12/09/2013","06",14236.56
"D","12/09/2013","07",15714.6
"D","12/09/2013","08",16966.85
"D","12/09/2013","09",17407.17
"D","12/09/2013","10",17662.03
"D","12/09/2013","11",17788.48
"D","12/09/2013","12",17757.85
"D","12/09/2013","13",17562.08
"D","12/09/2013","14",17434.06
"D","12/09/2013","15",17258.12
"D","12/09/2013","16",17375.53
"D","12/09/2013","17",18466.65
"D","12/09/2013","18",19317.38
"D","12/09/2013","19",19148.97
"D","12/09/2013","20",18599.04
"D","12/09/2013","21",17872.94
"D","12/09/2013","22",16685.53
"D","12/09/2013","23",15197.64
"D","12/09/2013","24",14159.1
"D","12/10/2013","01",13621.38
"D","12/10/2013","02",13218.85
"D","12/10/2013","03",13229.82
"D","12/10/2013","04",13209.96
"D","12/10/2013","05",13550.02
"D","12/10/2013","06",14123.75
"D","12/10/2013","07",15340.88
"D","12/10/2013","08",16537.44
"D","12/10/2013","09",16909.07
"D","12/10/2013","10",17159.04
"D","12/10/2013","11",17366.42
"D","12/10/2013","12",17403.06
"D","12/10/2013","13",17401.94
"D","12/10/2013","14",17450.46
"D","12/10/2013","15",17430.05
"D","12/10/2013","16",17519.8
"D","12/10/2013","17",18617.64
"D","12/10/2013","18",19628.52
"D","12/10/2013","19",19514.51
"D","12/10/2013","20",19082.76
"D","12/10/2013","21",18461.35
"D","12/10/2013","22",17323.37
"D","12/10/2013","23",16031.83
"D","12/10/2013","24",14827.27
"D","12/11/2013","01",14346.5
"D","12/11/2013","02",14083.99
"D","12/11/2013","03",14037.38
"D","12/11/2013","04",14041.85
"D","12/11/2013","05",14019.29
"D","12/11/2013","06",14595.12
"D","12/11/2013","07",16381.97
"D","12/11/2013","08",17447.18
"D","12/11/2013","09",17506.39
"D","12/11/2013","10",17391.77
"D","12/11/2013","11",17314.78
"D","12/11/2013","12",17186.42
"D","12/11/2013","13",17040.1
