"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20190525_20190608.csv"
"C","Report for: 05/25/2019 - 06/08/2019"
"C","Report generated: 06/30/2019 13:09:48 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","05/25/2019","01",9801.16
"D","05/25/2019","02",9351.12
"D","05/25/2019","03",9293.26
"D","05/25/2019","04",9167.71
"D","05/25/2019","05",9441.62
"D","05/25/2019","06",9459.65
"D","05/25/2019","07",9522.3
"D","05/25/2019","08",9644.91
"D","05/25/2019","09",9926.47
"D","05/25/2019","10",9946.2
"D","05/25/2019","11",9924.0
"D","05/25/2019","12",9918.09
"D","05/25/2019","13",9953.66
"D","05/25/2019","14",9957.86
"D","05/25/2019","15",10024.07
"D","05/25/2019","16",10403.92
"D","05/25/2019","17",11055.85
"D","05/25/2019","18",11609.0
"D","05/25/2019","19",11870.47
"D","05/25/2019","20",11982.44
"D","05/25/2019","21",12130.07
"D","05/25/2019","22",11686.45
"D","05/25/2019","23",10860.42
"D","05/25/2019","24",10100.94
"D","05/26/2019","01",9508.49
"D","05/26/2019","02",9149.47
"D","05/26/2019","03",9266.58
"D","05/26/2019","04",9154.79
"D","05/26/2019","05",9282.45
"D","05/26/2019","06",9408.68
"D","05/26/2019","07",9362.87
"D","05/26/2019","08",9317.27
"D","05/26/2019","09",9723.81
"D","05/26/2019","10",9992.29
"D","05/26/2019","11",10252.46
"D","05/26/2019","12",10540.28
"D","05/26/2019","13",10905.83
"D","05/26/2019","14",11319.3
"D","05/26/2019","15",11663.82
"D","05/26/2019","16",12166.65
"D","05/26/2019","17",12738.8
"D","05/26/2019","18",13376.41
"D","05/26/2019","19",13595.02
"D","05/26/2019","20",13606.48
"D","05/26/2019","21",13682.95
"D","05/26/2019","22",13247.06
"D","05/26/2019","23",12304.7
"D","05/26/2019","24",11244.85
"D","05/27/2019","01",10354.51
"D","05/27/2019","02",10017.38
"D","05/27/2019","03",9681.03
"D","05/27/2019","04",9693.84
"D","05/27/2019","05",9697.28
"D","05/27/2019","06",10236.13
"D","05/27/2019","07",10408.75
"D","05/27/2019","08",10843.39
"D","05/27/2019","09",10584.84
"D","05/27/2019","10",10730.58
"D","05/27/2019","11",10882.72
"D","05/27/2019","12",11069.66
"D","05/27/2019","13",11218.79
"D","05/27/2019","14",11349.75
"D","05/27/2019","15",11788.2
"D","05/27/2019","16",11972.24
"D","05/27/2019","17",12666.64
"D","05/27/2019","18",13398.62
"D","05/27/2019","19",13728.33
"D","05/27/2019","20",13772.5
"D","05/27/2019","21",13794.09
"D","05/27/2019","22",13114.97
"D","05/27/2019","23",11797.93
"D","05/27/2019","24",10561.38
"D","05/28/2019","01",9718.58
"D","05/28/2019","02",9573.07
"D","05/28/2019","03",9422.31
"D","05/28/2019","04",9178.71
"D","05/28/2019","05",9407.86
"D","05/28/2019","06",9850.25
"D","05/28/2019","07",11216.14
"D","05/28/2019","08",12189.16
"D","05/28/2019","09",12462.85
"D","05/28/2019","10",12617.67
"D","05/28/2019","11",12871.06
"D","05/28/2019","12",13315.03
"D","05/28/2019","13",13414.54
"D","05/28/2019","14",13455.84
"D","05/28/2019","15",13427.22
"D","05/28/2019","16",13386.02
"D","05/28/2019","17",13635.82
"D","05/28/2019","18",13957.1
"D","05/28/2019","19",13969.51
"D","05/28/2019","20",13738.32
"D","05/28/2019","21",13436.34
"D","05/28/2019","22",12549.49
"D","05/28/2019","23",11336.86
"D","05/28/2019","24",10269.47
"D","05/29/2019","01",10014.41
"D","05/29/2019","02",10217.63
"D","05/29/2019","03",10020.68
"D","05/29/2019","04",9995.78
"D","05/29/2019","05",10164.87
"D","05/29/2019","06",10401.09
"D","05/29/2019","07",11657.38
"D","05/29/2019","08",12576.19
"D","05/29/2019","09",12689.66
"D","05/29/2019","10",12716.54
"D","05/29/2019","11",12668.36
"D","05/29/2019","12",12633.49
"D","05/29/2019","13",12549.35
"D","05/29/2019","14",12529.14
"D","05/29/2019","15",12438.54
"D","05/29/2019","16",12472.76
"D","05/29/2019","17",12709.84
"D","05/29/2019","18",13221.26
"D","05/29/2019","19",13530.37
"D","05/29/2019","20",13535.24
"D","05/29/2019","21",13401.68
"D","05/29/2019","22",12660.43
"D","05/29/2019","23",11460.45
"D","05/29/2019","24",10580.85
"D","05/30/2019","01",10033.28
"D","05/30/2019","02",9943.91
"D","05/30/2019","03",9740.66
"D","05/30/2019","04",9904.77
"D","05/30/2019","05",9914.55
"D","05/30/2019","06",10386.27
"D","05/30/2019","07",11400.02
"D","05/30/2019","08",12388.46
"D","05/30/2019","09",12598.94
"D","05/30/2019","10",12629.98
"D","05/30/2019","11",12639.66
"D","05/30/2019","12",12557.35
"D","05/30/2019","13",12482.23
"D","05/30/2019","14",12477.52
"D","05/30/2019","15",12524.6
"D","05/30/2019","16",12658.57
"D","05/30/2019","17",12725.21
"D","05/30/2019","18",12914.44
"D","05/30/2019","19",13208.13
"D","05/30/2019","20",13409.57
"D","05/30/2019","21",13467.14
"D","05/30/2019","22",12760.16
"D","05/30/2019","23",11883.38
"D","05/30/2019","24",10897.97
"D","05/31/2019","01",9762.02
"D","05/31/2019","02",9494.2
"D","05/31/2019","03",9281.41
"D","05/31/2019","04",9471.83
"D","05/31/2019","05",9579.54
"D","05/31/2019","06",10188.15
"D","05/31/2019","07",11292.25
"D","05/31/2019","08",12192.45
"D","05/31/2019","09",12366.16
"D","05/31/2019","10",12326.58
"D","05/31/2019","11",12431.2
"D","05/31/2019","12",12476.96
"D","05/31/2019","13",12426.23
"D","05/31/2019","14",12546.13
"D","05/31/2019","15",12600.66
"D","05/31/2019","16",12774.11
"D","05/31/2019","17",13182.94
"D","05/31/2019","18",13492.54
"D","05/31/2019","19",13570.08
"D","05/31/2019","20",13490.86
"D","05/31/2019","21",13540.75
"D","05/31/2019","22",13033.79
"D","05/31/2019","23",11959.77
"D","05/31/2019","24",10846.68
"D","06/01/2019","01",10003.97
"D","06/01/2019","02",9456.86
"D","06/01/2019","03",9505.86
"D","06/01/2019","04",9518.46
"D","06/01/2019","05",9528.55
"D","06/01/2019","06",9547.94
"D","06/01/2019","07",10025.82
"D","06/01/2019","08",10412.19
"D","06/01/2019","09",10958.77
"D","06/01/2019","10",10999.17
"D","06/01/2019","11",10849.62
