"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20121127_20121211.csv"
"C","Report for: 11/27/2012 - 12/11/2012"
"C","Report generated: 06/30/2019 12:09:33 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","11/27/2012","01",12810.41
"D","11/27/2012","02",12336.87
"D","11/27/2012","03",12202.5
"D","11/27/2012","04",12384.97
"D","11/27/2012","05",12360.04
"D","11/27/2012","06",13019.7
"D","11/27/2012","07",15065.45
"D","11/27/2012","08",16232.76
"D","11/27/2012","09",16534.08
"D","11/27/2012","10",16637.69
"D","11/27/2012","11",16771.68
"D","11/27/2012","12",16870.93
"D","11/27/2012","13",16828.71
"D","11/27/2012","14",16818.48
"D","11/27/2012","15",16731.55
"D","11/27/2012","16",16899.86
"D","11/27/2012","17",17995.54
"D","11/27/2012","18",18831.14
"D","11/27/2012","19",18700.69
"D","11/27/2012","20",18213.75
"D","11/27/2012","21",17423.43
"D","11/27/2012","22",16219.92
"D","11/27/2012","23",14656.64
"D","11/27/2012","24",13266.97
"D","11/28/2012","01",12712.43
"D","11/28/2012","02",12677.61
"D","11/28/2012","03",12385.17
"D","11/28/2012","04",12522.98
"D","11/28/2012","05",12843.66
"D","11/28/2012","06",13677.26
"D","11/28/2012","07",15063.82
"D","11/28/2012","08",16216.12
"D","11/28/2012","09",16384.4
"D","11/28/2012","10",16421.9
"D","11/28/2012","11",16448.37
"D","11/28/2012","12",16329.12
"D","11/28/2012","13",16113.86
"D","11/28/2012","14",16090.15
"D","11/28/2012","15",16031.32
"D","11/28/2012","16",16251.99
"D","11/28/2012","17",17485.46
"D","11/28/2012","18",18558.81
"D","11/28/2012","19",18504.02
"D","11/28/2012","20",18100.93
"D","11/28/2012","21",17472.02
"D","11/28/2012","22",16391.23
"D","11/28/2012","23",14885.98
"D","11/28/2012","24",13590.21
"D","11/29/2012","01",13069.57
"D","11/29/2012","02",12843.35
"D","11/29/2012","03",12678.73
"D","11/29/2012","04",12651.29
"D","11/29/2012","05",12792.82
"D","11/29/2012","06",13760.01
"D","11/29/2012","07",15438.07
"D","11/29/2012","08",16477.65
"D","11/29/2012","09",16513.63
"D","11/29/2012","10",16392.42
"D","11/29/2012","11",16327.07
"D","11/29/2012","12",16189.32
"D","11/29/2012","13",15955.14
"D","11/29/2012","14",15876.04
"D","11/29/2012","15",15740.42
"D","11/29/2012","16",16092.6
"D","11/29/2012","17",17135.14
"D","11/29/2012","18",18223.14
"D","11/29/2012","19",18325.72
"D","11/29/2012","20",17979.36
"D","11/29/2012","21",17298.56
"D","11/29/2012","22",16201.64
"D","11/29/2012","23",14664.96
"D","11/29/2012","24",13723.72
"D","11/30/2012","01",12890.69
"D","11/30/2012","02",12741.51
"D","11/30/2012","03",12656.24
"D","11/30/2012","04",12649.04
"D","11/30/2012","05",12813.36
"D","11/30/2012","06",13379.88
"D","11/30/2012","07",15149.11
"D","11/30/2012","08",16285.4
"D","11/30/2012","09",16507.88
"D","11/30/2012","10",16548.03
"D","11/30/2012","11",16530.88
"D","11/30/2012","12",16429.88
"D","11/30/2012","13",16261.39
"D","11/30/2012","14",16234.44
"D","11/30/2012","15",16176.1
"D","11/30/2012","16",16411.21
"D","11/30/2012","17",17639.75
"D","11/30/2012","18",18391.17
"D","11/30/2012","19",18155.96
"D","11/30/2012","20",17680.4
"D","11/30/2012","21",17077.6
"D","11/30/2012","22",16219.53
"D","11/30/2012","23",14986.79
"D","11/30/2012","24",13888.07
"D","12/01/2012","01",12947.85
"D","12/01/2012","02",12390.23
"D","12/01/2012","03",12097.05
"D","12/01/2012","04",12245.89
"D","12/01/2012","05",12315.55
"D","12/01/2012","06",12528.58
"D","12/01/2012","07",13107.07
"D","12/01/2012","08",14081.73
"D","12/01/2012","09",15191.06
"D","12/01/2012","10",15914.19
"D","12/01/2012","11",16280.33
"D","12/01/2012","12",16340.62
"D","12/01/2012","13",16267.17
"D","12/01/2012","14",16121.01
"D","12/01/2012","15",16002.8
"D","12/01/2012","16",16172.51
"D","12/01/2012","17",17222.15
"D","12/01/2012","18",17751.4
"D","12/01/2012","19",17451.94
"D","12/01/2012","20",16897.22
"D","12/01/2012","21",16323.69
"D","12/01/2012","22",15549.49
"D","12/01/2012","23",14451.89
"D","12/01/2012","24",13258.69
"D","12/02/2012","01",12556.8
"D","12/02/2012","02",12070.77
"D","12/02/2012","03",11843.63
"D","12/02/2012","04",11663.51
"D","12/02/2012","05",11665.23
"D","12/02/2012","06",11931.76
"D","12/02/2012","07",12231.64
"D","12/02/2012","08",12829.93
"D","12/02/2012","09",13686.96
"D","12/02/2012","10",14425.34
"D","12/02/2012","11",14769.99
"D","12/02/2012","12",14879.98
"D","12/02/2012","13",14891.88
"D","12/02/2012","14",14742.35
"D","12/02/2012","15",14584.05
"D","12/02/2012","16",14755.52
"D","12/02/2012","17",16144.68
"D","12/02/2012","18",17095.31
"D","12/02/2012","19",16917.6
"D","12/02/2012","20",16467.81
"D","12/02/2012","21",15762.06
"D","12/02/2012","22",14658.71
"D","12/02/2012","23",13261.53
"D","12/02/2012","24",12074.6
"D","12/03/2012","01",11337.09
"D","12/03/2012","02",10865.82
"D","12/03/2012","03",11066.55
"D","12/03/2012","04",11116.66
"D","12/03/2012","05",11266.89
"D","12/03/2012","06",12154.64
"D","12/03/2012","07",13928.76
"D","12/03/2012","08",15026.94
"D","12/03/2012","09",15182.59
"D","12/03/2012","10",15232.21
"D","12/03/2012","11",15287.11
"D","12/03/2012","12",15220.07
"D","12/03/2012","13",15093.6
"D","12/03/2012","14",15032.51
"D","12/03/2012","15",14916.4
"D","12/03/2012","16",15012.71
"D","12/03/2012","17",16301.25
"D","12/03/2012","18",17646.89
"D","12/03/2012","19",17612.82
"D","12/03/2012","20",17204.36
"D","12/03/2012","21",16558.44
"D","12/03/2012","22",15441.85
"D","12/03/2012","23",13943.33
"D","12/03/2012","24",12757.69
"D","12/04/2012","01",12341.62
"D","12/04/2012","02",11859.98
"D","12/04/2012","03",11667.82
"D","12/04/2012","04",11640.74
"D","12/04/2012","05",11973.84
"D","12/04/2012","06",12829.9
"D","12/04/2012","07",14425.12
"D","12/04/2012","08",15553.65
"D","12/04/2012","09",15838.63
"D","12/04/2012","10",15994.19
"D","12/04/2012","11",16099.62
"D","12/04/2012","12",16073.64
"D","12/04/2012","13",15963.38
"D","12/04/2012","14",15902.13
"D","12/04/2012","15",15768.83
"D","12/04/2012","16",15886.86
"D","12/04/2012","17",17071.19
"D","12/04/2012","18",17980.55
"D","12/04/2012","19",17814.25
"D","12/04/2012","20",17300.99
"D","12/04/2012","21",16561.81
"D","12/04/2012","22",15377.83
"D","12/04/2012","23",13749.96
"D","12/04/2012","24",12320.83
"D","12/05/2012","01",11775.57
"D","12/05/2012","02",11420.49
"D","12/05/2012","03",11198.13
"D","12/05/2012","04",11127.58
"D","12/05/2012","05",11197.32
"D","12/05/2012","06",11896.46
"D","12/05/2012","07",13903.3
"D","12/05/2012","08",14863.73
"D","12/05/2012","09",15017.58
"D","12/05/2012","10",15066.47
"D","12/05/2012","11",15095.35
"D","12/05/2012","12",15047.94
"D","12/05/2012","13",15016.31
"D","12/05/2012","14",15061.37
"D","12/05/2012","15",15032.79
"D","12/05/2012","16",15261.32
"D","12/05/2012","17",16661.62
"D","12/05/2012","18",17898.94
"D","12/05/2012","19",17932.45
"D","12/05/2012","20",17597.22
"D","12/05/2012","21",17024.57
"D","12/05/2012","22",15986.0
"D","12/05/2012","23",14468.46
"D","12/05/2012","24",13055.88
"D","12/06/2012","01",12163.74
"D","12/06/2012","02",11952.84
"D","12/06/2012","03",12017.18
"D","12/06/2012","04",12052.47
"D","12/06/2012","05",12268.05
"D","12/06/2012","06",13152.86
"D","12/06/2012","07",15284.48
"D","12/06/2012","08",16402.5
"D","12/06/2012","09",16468.67
"D","12/06/2012","10",16386.4
"D","12/06/2012","11",16307.83
"D","12/06/2012","12",16089.81
"D","12/06/2012","13",15876.54
"D","12/06/2012","14",15767.05
"D","12/06/2012","15",15657.97
"D","12/06/2012","16",15858.3
"D","12/06/2012","17",17348.75
"D","12/06/2012","18",18634.98
"D","12/06/2012","19",18636.62
"D","12/06/2012","20",18343.59
"D","12/06/2012","21",17768.15
"D","12/06/2012","22",16694.2
"D","12/06/2012","23",15167.98
"D","12/06/2012","24",13685.76
"D","12/07/2012","01",12714.98
"D","12/07/2012","02",12252.83
"D","12/07/2012","03",12291.48
"D","12/07/2012","04",12452.1
"D","12/07/2012","05",13010.0
"D","12/07/2012","06",13498.02
"D","12/07/2012","07",15351.52
"D","12/07/2012","08",16501.98
"D","12/07/2012","09",16708.97
"D","12/07/2012","10",16678.78
"D","12/07/2012","11",16633.64
"D","12/07/2012","12",16433.49
"D","12/07/2012","13",16211.8
"D","12/07/2012","14",16135.23
"D","12/07/2012","15",16072.72
"D","12/07/2012","16",16226.0
"D","12/07/2012","17",17410.78
"D","12/07/2012","18",17968.14
"D","12/07/2012","19",17658.23
"D","12/07/2012","20",17119.12
"D","12/07/2012","21",16472.26
"D","12/07/2012","22",15588.97
"D","12/07/2012","23",14296.56
"D","12/07/2012","24",13253.74
"D","12/08/2012","01",12352.25
"D","12/08/2012","02",11806.82
"D","12/08/2012","03",11629.35
"D","12/08/2012","04",11736.47
"D","12/08/2012","05",11855.27
"D","12/08/2012","06",11971.3
"D","12/08/2012","07",12275.18
"D","12/08/2012","08",13017.25
"D","12/08/2012","09",14035.03
"D","12/08/2012","10",14843.62
"D","12/08/2012","11",15231.0
"D","12/08/2012","12",15239.15
"D","12/08/2012","13",15074.99
"D","12/08/2012","14",14869.24
"D","12/08/2012","15",14753.07
"D","12/08/2012","16",14918.29
"D","12/08/2012","17",15996.78
"D","12/08/2012","18",16682.72
"D","12/08/2012","19",16385.55
"D","12/08/2012","20",15857.87
"D","12/08/2012","21",15313.94
"D","12/08/2012","22",14596.71
"D","12/08/2012","23",13552.03
"D","12/08/2012","24",12376.97
"D","12/09/2012","01",11652.08
"D","12/09/2012","02",11274.89
"D","12/09/2012","03",10949.0
"D","12/09/2012","04",11065.88
"D","12/09/2012","05",11410.95
"D","12/09/2012","06",11605.57
"D","12/09/2012","07",12032.46
"D","12/09/2012","08",12219.53
"D","12/09/2012","09",13154.84
"D","12/09/2012","10",13681.52
"D","12/09/2012","11",14036.29
"D","12/09/2012","12",14271.58
"D","12/09/2012","13",14347.63
"D","12/09/2012","14",14285.11
"D","12/09/2012","15",14202.86
"D","12/09/2012","16",14541.55
"D","12/09/2012","17",16185.84
"D","12/09/2012","18",17231.72
"D","12/09/2012","19",17166.76
"D","12/09/2012","20",16788.16
"D","12/09/2012","21",16124.62
"D","12/09/2012","22",15102.93
"D","12/09/2012","23",13676.6
"D","12/09/2012","24",12558.49
"D","12/10/2012","01",11408.73
"D","12/10/2012","02",10929.71
"D","12/10/2012","03",10983.32
"D","12/10/2012","04",10950.89
"D","12/10/2012","05",11283.82
"D","12/10/2012","06",12508.72
"D","12/10/2012","07",14187.62
"D","12/10/2012","08",15511.29
"D","12/10/2012","09",15853.18
"D","12/10/2012","10",16042.29
"D","12/10/2012","11",16208.98
"D","12/10/2012","12",16244.18
"D","12/10/2012","13",16181.74
"D","12/10/2012","14",16166.21
"D","12/10/2012","15",16040.82
"D","12/10/2012","16",16281.35
"D","12/10/2012","17",17452.46
"D","12/10/2012","18",18227.81
"D","12/10/2012","19",18023.69
"D","12/10/2012","20",17502.65
"D","12/10/2012","21",16769.51
"D","12/10/2012","22",15553.0
"D","12/10/2012","23",14015.7
"D","12/10/2012","24",12465.2
"D","12/11/2012","01",11931.14
"D","12/11/2012","02",11780.64
"D","12/11/2012","03",11485.09
"D","12/11/2012","04",11426.83
"D","12/11/2012","05",11472.77
"D","12/11/2012","06",12114.54
"D","12/11/2012","07",13856.2
"D","12/11/2012","08",15182.4
"D","12/11/2012","09",15476.74
"D","12/11/2012","10",15540.43
"D","12/11/2012","11",15530.63
"D","12/11/2012","12",15493.49
"D","12/11/2012","13",15307.17
"D","12/11/2012","14",15310.79
"D","12/11/2012","15",15235.26
"D","12/11/2012","16",15451.7
"D","12/11/2012","17",16939.16
"D","12/11/2012","18",18245.93
"D","12/11/2012","19",18272.81
"D","12/11/2012","20",17911.7
"D","12/11/2012","21",17306.03
"D","12/11/2012","22",16247.75
"D","12/11/2012","23",14651.2
"D","12/11/2012","24",13145.96
"T","360 lines"
