"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20141021_20141103.csv"
"C","Report for: 10/21/2014 - 11/03/2014"
"C","Report generated: 06/30/2019 12:40:23 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","10/21/2014","01",10810.73
"D","10/21/2014","02",10847.08
"D","10/21/2014","03",10718.94
"D","10/21/2014","04",10864.43
"D","10/21/2014","05",11183.76
"D","10/21/2014","06",11922.48
"D","10/21/2014","07",13190.18
"D","10/21/2014","08",14324.65
"D","10/21/2014","09",14542.45
"D","10/21/2014","10",14624.62
"D","10/21/2014","11",14705.3
"D","10/21/2014","12",14751.5
"D","10/21/2014","13",14743.68
"D","10/21/2014","14",14778.34
"D","10/21/2014","15",14665.77
"D","10/21/2014","16",14584.34
"D","10/21/2014","17",14768.64
"D","10/21/2014","18",15346.32
"D","10/21/2014","19",16095.86
"D","10/21/2014","20",15894.19
"D","10/21/2014","21",15166.98
"D","10/21/2014","22",14021.2
"D","10/21/2014","23",12582.03
"D","10/21/2014","24",11287.67
"D","10/22/2014","01",10753.92
"D","10/22/2014","02",10537.05
"D","10/22/2014","03",10282.76
"D","10/22/2014","04",10211.09
"D","10/22/2014","05",10467.34
"D","10/22/2014","06",11053.78
"D","10/22/2014","07",12915.79
"D","10/22/2014","08",14277.85
"D","10/22/2014","09",14617.98
"D","10/22/2014","10",14856.42
"D","10/22/2014","11",15044.49
"D","10/22/2014","12",15091.46
"D","10/22/2014","13",14996.65
"D","10/22/2014","14",15022.03
"D","10/22/2014","15",14918.88
"D","10/22/2014","16",14929.71
"D","10/22/2014","17",15229.8
"D","10/22/2014","18",15860.34
"D","10/22/2014","19",16333.93
"D","10/22/2014","20",15954.36
"D","10/22/2014","21",15241.05
"D","10/22/2014","22",14133.76
"D","10/22/2014","23",12703.29
"D","10/22/2014","24",11469.26
"D","10/23/2014","01",10635.2
"D","10/23/2014","02",10593.51
"D","10/23/2014","03",10574.32
"D","10/23/2014","04",10683.09
"D","10/23/2014","05",10930.94
"D","10/23/2014","06",11762.5
"D","10/23/2014","07",13147.07
"D","10/23/2014","08",14458.39
"D","10/23/2014","09",14762.85
"D","10/23/2014","10",15030.15
"D","10/23/2014","11",15199.71
"D","10/23/2014","12",15275.05
"D","10/23/2014","13",15148.71
"D","10/23/2014","14",15119.6
"D","10/23/2014","15",14979.61
"D","10/23/2014","16",14976.82
"D","10/23/2014","17",15205.91
"D","10/23/2014","18",15709.77
"D","10/23/2014","19",16196.96
"D","10/23/2014","20",15923.67
"D","10/23/2014","21",15289.41
"D","10/23/2014","22",14175.64
"D","10/23/2014","23",12811.9
"D","10/23/2014","24",11682.85
"D","10/24/2014","01",11531.7
"D","10/24/2014","02",11180.04
"D","10/24/2014","03",11042.3
"D","10/24/2014","04",10968.37
"D","10/24/2014","05",11191.26
"D","10/24/2014","06",12094.89
"D","10/24/2014","07",13204.05
"D","10/24/2014","08",14329.31
"D","10/24/2014","09",14655.88
"D","10/24/2014","10",14814.97
"D","10/24/2014","11",14939.83
"D","10/24/2014","12",14883.53
"D","10/24/2014","13",14732.94
"D","10/24/2014","14",14684.49
"D","10/24/2014","15",14526.85
"D","10/24/2014","16",14406.05
"D","10/24/2014","17",14533.93
"D","10/24/2014","18",14918.08
"D","10/24/2014","19",15451.71
"D","10/24/2014","20",15115.1
"D","10/24/2014","21",14574.15
"D","10/24/2014","22",13790.49
"D","10/24/2014","23",12748.33
"D","10/24/2014","24",11829.37
"D","10/25/2014","01",10934.46
"D","10/25/2014","02",10720.41
"D","10/25/2014","03",10664.17
"D","10/25/2014","04",10799.23
"D","10/25/2014","05",10856.35
"D","10/25/2014","06",11187.94
"D","10/25/2014","07",11664.33
"D","10/25/2014","08",11925.96
"D","10/25/2014","09",12528.84
"D","10/25/2014","10",12905.32
"D","10/25/2014","11",12971.25
"D","10/25/2014","12",12876.79
"D","10/25/2014","13",12695.14
"D","10/25/2014","14",12480.04
"D","10/25/2014","15",12360.04
"D","10/25/2014","16",12348.63
"D","10/25/2014","17",12617.08
"D","10/25/2014","18",13146.1
"D","10/25/2014","19",14027.77
"D","10/25/2014","20",13859.27
"D","10/25/2014","21",13404.4
"D","10/25/2014","22",12767.81
"D","10/25/2014","23",12082.29
"D","10/25/2014","24",11253.41
"D","10/26/2014","01",10722.55
"D","10/26/2014","02",10488.63
"D","10/26/2014","03",10462.58
"D","10/26/2014","04",10322.2
"D","10/26/2014","05",10295.88
"D","10/26/2014","06",10520.26
"D","10/26/2014","07",10579.11
"D","10/26/2014","08",10631.86
"D","10/26/2014","09",11438.06
"D","10/26/2014","10",12150.56
"D","10/26/2014","11",12511.98
"D","10/26/2014","12",12732.13
"D","10/26/2014","13",12756.32
"D","10/26/2014","14",12651.43
"D","10/26/2014","15",12574.86
"D","10/26/2014","16",12689.71
"D","10/26/2014","17",13055.59
"D","10/26/2014","18",13753.94
"D","10/26/2014","19",14800.17
"D","10/26/2014","20",14686.55
"D","10/26/2014","21",14076.25
"D","10/26/2014","22",13072.32
"D","10/26/2014","23",11900.72
"D","10/26/2014","24",10879.56
"D","10/27/2014","01",10652.93
"D","10/27/2014","02",10482.42
"D","10/27/2014","03",10584.48
"D","10/27/2014","04",10584.82
"D","10/27/2014","05",10855.72
"D","10/27/2014","06",11668.64
"D","10/27/2014","07",13050.8
"D","10/27/2014","08",14163.5
"D","10/27/2014","09",14286.8
"D","10/27/2014","10",14253.28
"D","10/27/2014","11",14281.38
"D","10/27/2014","12",14243.42
"D","10/27/2014","13",14098.79
"D","10/27/2014","14",14062.52
"D","10/27/2014","15",13953.5
"D","10/27/2014","16",13946.16
"D","10/27/2014","17",14218.57
"D","10/27/2014","18",14915.62
"D","10/27/2014","19",15902.01
"D","10/27/2014","20",15652.84
"D","10/27/2014","21",14971.84
"D","10/27/2014","22",13860.98
"D","10/27/2014","23",12490.12
"D","10/27/2014","24",11401.32
"D","10/28/2014","01",11002.71
"D","10/28/2014","02",10816.87
"D","10/28/2014","03",10584.06
"D","10/28/2014","04",10717.87
"D","10/28/2014","05",10913.65
"D","10/28/2014","06",11605.85
"D","10/28/2014","07",13172.88
"D","10/28/2014","08",14345.47
"D","10/28/2014","09",14446.96
"D","10/28/2014","10",14456.83
"D","10/28/2014","11",14348.76
"D","10/28/2014","12",14408.38
"D","10/28/2014","13",14323.19
"D","10/28/2014","14",14334.92
"D","10/28/2014","15",14357.14
"D","10/28/2014","16",14371.84
"D","10/28/2014","17",14509.87
"D","10/28/2014","18",15164.85
"D","10/28/2014","19",16036.76
"D","10/28/2014","20",15758.34
"D","10/28/2014","21",15033.69
"D","10/28/2014","22",13933.32
"D","10/28/2014","23",12518.21
"D","10/28/2014","24",11370.12
"D","10/29/2014","01",10643.52
"D","10/29/2014","02",10433.37
"D","10/29/2014","03",10429.17
"D","10/29/2014","04",10328.16
"D","10/29/2014","05",10381.59
"D","10/29/2014","06",11073.9
"D","10/29/2014","07",12881.83
"D","10/29/2014","08",14176.33
"D","10/29/2014","09",14413.71
"D","10/29/2014","10",14594.11
"D","10/29/2014","11",14818.53
"D","10/29/2014","12",14861.53
"D","10/29/2014","13",14833.73
"D","10/29/2014","14",14888.29
"D","10/29/2014","15",14823.57
"D","10/29/2014","16",14797.77
"D","10/29/2014","17",15019.84
"D","10/29/2014","18",15600.46
"D","10/29/2014","19",16020.48
"D","10/29/2014","20",15639.33
"D","10/29/2014","21",14941.36
"D","10/29/2014","22",13858.3
"D","10/29/2014","23",12482.54
"D","10/29/2014","24",11244.69
"D","10/30/2014","01",10930.61
"D","10/30/2014","02",10754.02
"D","10/30/2014","03",10763.11
"D","10/30/2014","04",10954.5
"D","10/30/2014","05",11024.1
"D","10/30/2014","06",11446.99
"D","10/30/2014","07",13025.39
"D","10/30/2014","08",14356.76
"D","10/30/2014","09",14434.86
"D","10/30/2014","10",14377.87
"D","10/30/2014","11",14346.09
"D","10/30/2014","12",14246.08
"D","10/30/2014","13",14134.2
"D","10/30/2014","14",14213.81
"D","10/30/2014","15",14187.25
"D","10/30/2014","16",14167.89
"D","10/30/2014","17",14336.1
"D","10/30/2014","18",14894.36
"D","10/30/2014","19",15777.21
"D","10/30/2014","20",15649.42
"D","10/30/2014","21",15105.31
"D","10/30/2014","22",14122.6
"D","10/30/2014","23",12744.08
"D","10/30/2014","24",11737.08
"D","10/31/2014","01",11170.26
"D","10/31/2014","02",10986.25
"D","10/31/2014","03",11015.7
"D","10/31/2014","04",10969.9
"D","10/31/2014","05",11251.25
"D","10/31/2014","06",11448.19
"D","10/31/2014","07",13230.72
"D","10/31/2014","08",14507.38
"D","10/31/2014","09",14621.54
"D","10/31/2014","10",14618.94
"D","10/31/2014","11",14612.6
"D","10/31/2014","12",14507.58
"D","10/31/2014","13",14356.54
"D","10/31/2014","14",14320.26
"D","10/31/2014","15",14226.07
"D","10/31/2014","16",14243.83
"D","10/31/2014","17",14487.26
"D","10/31/2014","18",14868.32
"D","10/31/2014","19",15002.36
"D","10/31/2014","20",14553.52
"D","10/31/2014","21",14167.02
"D","10/31/2014","22",13478.93
"D","10/31/2014","23",12477.23
"D","10/31/2014","24",11408.6
"D","11/01/2014","01",10883.75
"D","11/01/2014","02",10691.16
"D","11/01/2014","03",10677.75
"D","11/01/2014","04",10562.27
"D","11/01/2014","05",10636.12
"D","11/01/2014","06",10826.38
"D","11/01/2014","07",11037.32
"D","11/01/2014","08",11930.9
"D","11/01/2014","09",12834.22
"D","11/01/2014","10",13638.81
"D","11/01/2014","11",14137.01
"D","11/01/2014","12",14369.46
"D","11/01/2014","13",14427.7
"D","11/01/2014","14",14277.34
"D","11/01/2014","15",14189.95
"D","11/01/2014","16",14167.85
"D","11/01/2014","17",14450.41
"D","11/01/2014","18",15014.15
"D","11/01/2014","19",15301.36
"D","11/01/2014","20",14856.89
"D","11/01/2014","21",14326.11
"D","11/01/2014","22",13643.6
"D","11/01/2014","23",12724.42
"D","11/01/2014","24",12083.68
"D","11/02/2014","01",11783.23
"D","11/02/2014","02",11662.37
"D","11/02/2014","02X",11473.33
"D","11/02/2014","03",11330.86
"D","11/02/2014","04",11293.45
"D","11/02/2014","05",11438.19
"D","11/02/2014","06",11622.43
"D","11/02/2014","07",11962.02
"D","11/02/2014","08",12494.22
"D","11/02/2014","09",13388.39
"D","11/02/2014","10",14111.6
"D","11/02/2014","11",14468.27
"D","11/02/2014","12",14652.19
"D","11/02/2014","13",14600.35
"D","11/02/2014","14",14439.89
"D","11/02/2014","15",14297.64
"D","11/02/2014","16",14369.64
"D","11/02/2014","17",14996.75
"D","11/02/2014","18",16001.38
"D","11/02/2014","19",15909.3
"D","11/02/2014","20",15322.89
"D","11/02/2014","21",14762.02
"D","11/02/2014","22",13721.81
"D","11/02/2014","23",12681.77
"D","11/02/2014","24",12192.18
"D","11/03/2014","01",12006.02
"D","11/03/2014","02",11915.68
"D","11/03/2014","03",11789.66
"D","11/03/2014","04",11833.24
"D","11/03/2014","05",12250.32
"D","11/03/2014","06",13076.59
"D","11/03/2014","07",14048.31
"D","11/03/2014","08",14944.51
"D","11/03/2014","09",14950.81
"D","11/03/2014","10",14835.23
"D","11/03/2014","11",14735.32
"D","11/03/2014","12",14634.58
"D","11/03/2014","13",14415.05
"D","11/03/2014","14",14374.88
"D","11/03/2014","15",14339.22
"D","11/03/2014","16",14569.63
"D","11/03/2014","17",15356.46
"D","11/03/2014","18",16699.08
"D","11/03/2014","19",16657.92
"D","11/03/2014","20",16161.16
"D","11/03/2014","21",15417.4
"D","11/03/2014","22",14272.6
"D","11/03/2014","23",12932.37
"D","11/03/2014","24",11728.13
"T","337 lines"
