"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20150418_20150502.csv"
"C","Report for: 04/18/2015 - 05/02/2015"
"C","Report generated: 06/30/2019 12:43:56 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","04/18/2015","01",10432.26
"D","04/18/2015","02",10391.57
"D","04/18/2015","03",9912.78
"D","04/18/2015","04",10029.05
"D","04/18/2015","05",10126.74
"D","04/18/2015","06",10271.62
"D","04/18/2015","07",10508.75
"D","04/18/2015","08",11074.31
"D","04/18/2015","09",11719.14
"D","04/18/2015","10",12137.05
"D","04/18/2015","11",12189.58
"D","04/18/2015","12",12105.5
"D","04/18/2015","13",11924.55
"D","04/18/2015","14",11758.15
"D","04/18/2015","15",11680.16
"D","04/18/2015","16",11702.85
"D","04/18/2015","17",11889.8
"D","04/18/2015","18",12196.78
"D","04/18/2015","19",12377.7
"D","04/18/2015","20",12604.48
"D","04/18/2015","21",12936.6
"D","04/18/2015","22",12352.32
"D","04/18/2015","23",11459.4
"D","04/18/2015","24",10501.62
"D","04/19/2015","01",9981.41
"D","04/19/2015","02",10067.86
"D","04/19/2015","03",9882.9
"D","04/19/2015","04",10036.72
"D","04/19/2015","05",10111.35
"D","04/19/2015","06",10101.0
"D","04/19/2015","07",10407.25
"D","04/19/2015","08",10965.2
"D","04/19/2015","09",10931.63
"D","04/19/2015","10",11282.64
"D","04/19/2015","11",11451.58
"D","04/19/2015","12",11461.3
"D","04/19/2015","13",11384.5
"D","04/19/2015","14",11232.75
"D","04/19/2015","15",11110.23
"D","04/19/2015","16",11133.47
"D","04/19/2015","17",11427.62
"D","04/19/2015","18",11928.34
"D","04/19/2015","19",12350.11
"D","04/19/2015","20",12943.82
"D","04/19/2015","21",13261.48
"D","04/19/2015","22",12468.41
"D","04/19/2015","23",11434.85
"D","04/19/2015","24",10628.49
"D","04/20/2015","01",10533.89
"D","04/20/2015","02",10383.73
"D","04/20/2015","03",10334.22
"D","04/20/2015","04",10051.43
"D","04/20/2015","05",9887.07
"D","04/20/2015","06",10534.36
"D","04/20/2015","07",11942.86
"D","04/20/2015","08",13201.64
"D","04/20/2015","09",13942.56
"D","04/20/2015","10",14406.69
"D","04/20/2015","11",14722.01
"D","04/20/2015","12",14914.2
"D","04/20/2015","13",14964.96
"D","04/20/2015","14",14969.14
"D","04/20/2015","15",14815.86
"D","04/20/2015","16",14729.74
"D","04/20/2015","17",14856.86
"D","04/20/2015","18",15115.17
"D","04/20/2015","19",15144.32
"D","04/20/2015","20",15168.46
"D","04/20/2015","21",14828.46
"D","04/20/2015","22",13817.56
"D","04/20/2015","23",12729.11
"D","04/20/2015","24",11645.2
"D","04/21/2015","01",11442.0
"D","04/21/2015","02",11301.32
"D","04/21/2015","03",11223.86
"D","04/21/2015","04",11130.66
"D","04/21/2015","05",11346.87
"D","04/21/2015","06",11718.92
"D","04/21/2015","07",12518.88
"D","04/21/2015","08",13571.72
"D","04/21/2015","09",14096.5
"D","04/21/2015","10",14225.38
"D","04/21/2015","11",14299.98
"D","04/21/2015","12",14286.3
"D","04/21/2015","13",14125.59
"D","04/21/2015","14",14006.0
"D","04/21/2015","15",13750.85
"D","04/21/2015","16",13554.92
"D","04/21/2015","17",13584.52
"D","04/21/2015","18",13723.36
"D","04/21/2015","19",13791.65
"D","04/21/2015","20",14071.88
"D","04/21/2015","21",14381.88
"D","04/21/2015","22",13547.29
"D","04/21/2015","23",12236.64
"D","04/21/2015","24",11068.76
"D","04/22/2015","01",11139.94
"D","04/22/2015","02",11096.49
"D","04/22/2015","03",10969.42
"D","04/22/2015","04",10923.69
"D","04/22/2015","05",11228.17
"D","04/22/2015","06",11965.31
"D","04/22/2015","07",12300.53
"D","04/22/2015","08",13323.07
"D","04/22/2015","09",13554.96
"D","04/22/2015","10",13574.6
"D","04/22/2015","11",13609.43
"D","04/22/2015","12",13602.27
"D","04/22/2015","13",13555.62
"D","04/22/2015","14",13592.94
"D","04/22/2015","15",13490.83
"D","04/22/2015","16",13424.62
"D","04/22/2015","17",13630.15
"D","04/22/2015","18",13949.16
"D","04/22/2015","19",14105.85
"D","04/22/2015","20",14332.87
"D","04/22/2015","21",14360.85
"D","04/22/2015","22",13435.07
"D","04/22/2015","23",12136.59
"D","04/22/2015","24",11006.86
"D","04/23/2015","01",11066.55
"D","04/23/2015","02",10910.8
"D","04/23/2015","03",10441.12
"D","04/23/2015","04",10639.27
"D","04/23/2015","05",10942.29
"D","04/23/2015","06",11894.45
"D","04/23/2015","07",12311.94
"D","04/23/2015","08",13340.52
"D","04/23/2015","09",13671.31
"D","04/23/2015","10",13813.92
"D","04/23/2015","11",13963.75
"D","04/23/2015","12",14021.39
"D","04/23/2015","13",13999.2
"D","04/23/2015","14",13994.65
"D","04/23/2015","15",13788.6
"D","04/23/2015","16",13689.45
"D","04/23/2015","17",13826.56
"D","04/23/2015","18",14110.72
"D","04/23/2015","19",14282.04
"D","04/23/2015","20",14600.2
"D","04/23/2015","21",14820.11
"D","04/23/2015","22",14029.0
"D","04/23/2015","23",12847.86
"D","04/23/2015","24",11886.69
"D","04/24/2015","01",11125.11
"D","04/24/2015","02",10947.36
"D","04/24/2015","03",11217.81
"D","04/24/2015","04",11531.22
"D","04/24/2015","05",11616.51
"D","04/24/2015","06",11977.45
"D","04/24/2015","07",12825.93
"D","04/24/2015","08",13855.64
"D","04/24/2015","09",14204.76
"D","04/24/2015","10",14212.43
"D","04/24/2015","11",14194.25
"D","04/24/2015","12",14091.32
"D","04/24/2015","13",13923.3
"D","04/24/2015","14",13799.13
"D","04/24/2015","15",13601.0
"D","04/24/2015","16",13448.99
"D","04/24/2015","17",13490.2
"D","04/24/2015","18",13711.94
"D","04/24/2015","19",13881.02
"D","04/24/2015","20",14196.75
"D","04/24/2015","21",14438.84
"D","04/24/2015","22",13791.96
"D","04/24/2015","23",12779.82
"D","04/24/2015","24",11741.69
"D","04/25/2015","01",11189.78
"D","04/25/2015","02",10925.94
"D","04/25/2015","03",10803.68
"D","04/25/2015","04",10946.04
"D","04/25/2015","05",11138.9
"D","04/25/2015","06",11324.73
"D","04/25/2015","07",11798.49
"D","04/25/2015","08",11941.35
"D","04/25/2015","09",12455.3
"D","04/25/2015","10",12648.68
"D","04/25/2015","11",12595.7
"D","04/25/2015","12",12392.98
"D","04/25/2015","13",12168.4
"D","04/25/2015","14",11982.72
"D","04/25/2015","15",11767.94
"D","04/25/2015","16",11718.41
"D","04/25/2015","17",11879.97
"D","04/25/2015","18",12257.19
"D","04/25/2015","19",12537.48
"D","04/25/2015","20",12833.55
"D","04/25/2015","21",13171.23
"D","04/25/2015","22",12638.24
"D","04/25/2015","23",11782.13
"D","04/25/2015","24",10897.57
"D","04/26/2015","01",10418.49
"D","04/26/2015","02",10302.37
"D","04/26/2015","03",10313.45
"D","04/26/2015","04",10306.93
"D","04/26/2015","05",10598.34
"D","04/26/2015","06",10357.52
"D","04/26/2015","07",10396.46
"D","04/26/2015","08",10958.36
"D","04/26/2015","09",11620.98
"D","04/26/2015","10",11755.39
"D","04/26/2015","11",11918.38
"D","04/26/2015","12",12131.6
"D","04/26/2015","13",12234.26
"D","04/26/2015","14",12189.74
"D","04/26/2015","15",12108.43
"D","04/26/2015","16",12132.94
"D","04/26/2015","17",12375.62
"D","04/26/2015","18",12806.47
"D","04/26/2015","19",13092.28
"D","04/26/2015","20",13427.69
"D","04/26/2015","21",13582.2
"D","04/26/2015","22",12724.92
"D","04/26/2015","23",11581.67
"D","04/26/2015","24",10508.77
"D","04/27/2015","01",10321.65
"D","04/27/2015","02",10011.57
"D","04/27/2015","03",10201.3
"D","04/27/2015","04",10403.54
"D","04/27/2015","05",10714.23
"D","04/27/2015","06",11565.48
"D","04/27/2015","07",12477.23
"D","04/27/2015","08",13550.6
"D","04/27/2015","09",13818.35
"D","04/27/2015","10",13824.52
"D","04/27/2015","11",13837.93
"D","04/27/2015","12",13891.99
"D","04/27/2015","13",13891.05
"D","04/27/2015","14",13881.38
"D","04/27/2015","15",13714.15
"D","04/27/2015","16",13675.97
"D","04/27/2015","17",13813.59
"D","04/27/2015","18",14129.23
"D","04/27/2015","19",14243.24
"D","04/27/2015","20",14412.1
"D","04/27/2015","21",14569.39
"D","04/27/2015","22",13633.5
"D","04/27/2015","23",12241.48
"D","04/27/2015","24",11104.66
"D","04/28/2015","01",10801.4
"D","04/28/2015","02",10635.03
"D","04/28/2015","03",10711.09
"D","04/28/2015","04",10711.59
"D","04/28/2015","05",11005.94
"D","04/28/2015","06",11593.61
"D","04/28/2015","07",12574.54
"D","04/28/2015","08",13649.35
"D","04/28/2015","09",13864.67
"D","04/28/2015","10",13863.06
"D","04/28/2015","11",13780.42
"D","04/28/2015","12",13622.59
"D","04/28/2015","13",13425.44
"D","04/28/2015","14",13370.23
"D","04/28/2015","15",13219.46
"D","04/28/2015","16",13146.06
"D","04/28/2015","17",13270.35
"D","04/28/2015","18",13505.36
"D","04/28/2015","19",13633.46
"D","04/28/2015","20",13922.65
"D","04/28/2015","21",14383.5
"D","04/28/2015","22",13517.0
"D","04/28/2015","23",12146.85
"D","04/28/2015","24",10937.21
"D","04/29/2015","01",10620.7
"D","04/29/2015","02",10578.49
"D","04/29/2015","03",10487.71
"D","04/29/2015","04",10468.26
"D","04/29/2015","05",10608.89
"D","04/29/2015","06",11099.75
"D","04/29/2015","07",12320.77
"D","04/29/2015","08",13341.23
"D","04/29/2015","09",13500.24
"D","04/29/2015","10",13455.32
"D","04/29/2015","11",13538.65
"D","04/29/2015","12",13586.62
"D","04/29/2015","13",13553.16
"D","04/29/2015","14",13616.91
"D","04/29/2015","15",13506.82
"D","04/29/2015","16",13368.06
"D","04/29/2015","17",13395.94
"D","04/29/2015","18",13538.12
"D","04/29/2015","19",13647.5
"D","04/29/2015","20",13974.12
"D","04/29/2015","21",14306.44
"D","04/29/2015","22",13428.81
"D","04/29/2015","23",12089.88
"D","04/29/2015","24",10838.31
"D","04/30/2015","01",10063.61
"D","04/30/2015","02",9870.93
"D","04/30/2015","03",9878.37
"D","04/30/2015","04",10101.83
"D","04/30/2015","05",9884.36
"D","04/30/2015","06",10632.09
"D","04/30/2015","07",12281.87
"D","04/30/2015","08",13460.71
"D","04/30/2015","09",13713.97
"D","04/30/2015","10",13770.89
"D","04/30/2015","11",13744.46
"D","04/30/2015","12",13620.53
"D","04/30/2015","13",13524.62
"D","04/30/2015","14",13520.04
"D","04/30/2015","15",13444.03
"D","04/30/2015","16",13379.12
"D","04/30/2015","17",13446.55
"D","04/30/2015","18",13637.86
"D","04/30/2015","19",13738.51
"D","04/30/2015","20",14022.2
"D","04/30/2015","21",14302.71
"D","04/30/2015","22",13455.81
"D","04/30/2015","23",12148.73
"D","04/30/2015","24",10916.61
"D","05/01/2015","01",10119.17
"D","05/01/2015","02",9682.61
"D","05/01/2015","03",9715.52
"D","05/01/2015","04",9704.34
"D","05/01/2015","05",9729.16
"D","05/01/2015","06",10624.04
"D","05/01/2015","07",12191.38
"D","05/01/2015","08",13363.54
"D","05/01/2015","09",13692.85
"D","05/01/2015","10",13754.58
"D","05/01/2015","11",13758.47
"D","05/01/2015","12",13657.41
"D","05/01/2015","13",13523.72
"D","05/01/2015","14",13456.49
"D","05/01/2015","15",13297.94
"D","05/01/2015","16",13124.92
"D","05/01/2015","17",13343.6
"D","05/01/2015","18",13231.1
"D","05/01/2015","19",13136.15
"D","05/01/2015","20",13318.35
"D","05/01/2015","21",13737.52
"D","05/01/2015","22",13172.31
"D","05/01/2015","23",12126.34
"D","05/01/2015","24",11023.13
"D","05/02/2015","01",10204.45
"D","05/02/2015","02",9734.16
"D","05/02/2015","03",9494.96
"D","05/02/2015","04",9600.64
"D","05/02/2015","05",9802.48
"D","05/02/2015","06",10141.04
"D","05/02/2015","07",10727.3
"D","05/02/2015","08",11337.56
"D","05/02/2015","09",11925.1
"D","05/02/2015","10",12073.1
"D","05/02/2015","11",12047.3
"D","05/02/2015","12",11924.97
"D","05/02/2015","13",11785.78
"D","05/02/2015","14",11603.68
"D","05/02/2015","15",11465.78
"D","05/02/2015","16",11462.46
"D","05/02/2015","17",11628.99
"D","05/02/2015","18",11915.07
"D","05/02/2015","19",12095.16
"D","05/02/2015","20",12344.2
"D","05/02/2015","21",12867.31
"D","05/02/2015","22",12378.11
"D","05/02/2015","23",11455.84
"D","05/02/2015","24",10503.19
"T","360 lines"
