"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20120928_20121012.csv"
"C","Report for: 09/28/2012 - 10/12/2012"
"C","Report generated: 06/30/2019 12:07:39 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","09/28/2012","01",10883.14
"D","09/28/2012","02",10707.58
"D","09/28/2012","03",10663.18
"D","09/28/2012","04",10627.66
"D","09/28/2012","05",10848.82
"D","09/28/2012","06",11520.66
"D","09/28/2012","07",12877.55
"D","09/28/2012","08",14087.21
"D","09/28/2012","09",14646.57
"D","09/28/2012","10",14992.85
"D","09/28/2012","11",15267.54
"D","09/28/2012","12",15400.18
"D","09/28/2012","13",15361.85
"D","09/28/2012","14",15344.08
"D","09/28/2012","15",15176.48
"D","09/28/2012","16",15081.57
"D","09/28/2012","17",15134.4
"D","09/28/2012","18",15283.53
"D","09/28/2012","19",15510.1
"D","09/28/2012","20",15443.34
"D","09/28/2012","21",14841.9
"D","09/28/2012","22",13977.45
"D","09/28/2012","23",12838.72
"D","09/28/2012","24",11641.4
"D","09/29/2012","01",10971.05
"D","09/29/2012","02",10682.85
"D","09/29/2012","03",10860.28
"D","09/29/2012","04",10719.14
"D","09/29/2012","05",10492.15
"D","09/29/2012","06",10605.9
"D","09/29/2012","07",10775.74
"D","09/29/2012","08",11856.24
"D","09/29/2012","09",12979.59
"D","09/29/2012","10",13753.65
"D","09/29/2012","11",13870.08
"D","09/29/2012","12",13955.18
"D","09/29/2012","13",13865.3
"D","09/29/2012","14",13643.69
"D","09/29/2012","15",13457.88
"D","09/29/2012","16",13354.17
"D","09/29/2012","17",13466.12
"D","09/29/2012","18",13773.01
"D","09/29/2012","19",14224.43
"D","09/29/2012","20",14401.84
"D","09/29/2012","21",13941.32
"D","09/29/2012","22",13240.86
"D","09/29/2012","23",12278.66
"D","09/29/2012","24",11245.24
"D","09/30/2012","01",10647.27
"D","09/30/2012","02",10148.67
"D","09/30/2012","03",9829.64
"D","09/30/2012","04",9658.6
"D","09/30/2012","05",9648.07
"D","09/30/2012","06",9814.86
"D","09/30/2012","07",10056.5
"D","09/30/2012","08",10711.58
"D","09/30/2012","09",11761.35
"D","09/30/2012","10",12717.63
"D","09/30/2012","11",13316.6
"D","09/30/2012","12",13648.88
"D","09/30/2012","13",13783.53
"D","09/30/2012","14",13686.4
"D","09/30/2012","15",13554.3
"D","09/30/2012","16",13469.64
"D","09/30/2012","17",13631.34
"D","09/30/2012","18",13936.67
"D","09/30/2012","19",14446.44
"D","09/30/2012","20",14871.85
"D","09/30/2012","21",14301.63
"D","09/30/2012","22",13270.4
"D","09/30/2012","23",12074.8
"D","09/30/2012","24",10920.91
"D","10/01/2012","01",10225.52
"D","10/01/2012","02",9879.88
"D","10/01/2012","03",9670.69
"D","10/01/2012","04",9625.04
"D","10/01/2012","05",9878.77
"D","10/01/2012","06",10719.06
"D","10/01/2012","07",12654.88
"D","10/01/2012","08",13818.34
"D","10/01/2012","09",14287.54
"D","10/01/2012","10",14613.66
"D","10/01/2012","11",14921.3
"D","10/01/2012","12",15062.05
"D","10/01/2012","13",15069.33
"D","10/01/2012","14",15082.93
"D","10/01/2012","15",14995.62
"D","10/01/2012","16",14915.52
"D","10/01/2012","17",14981.77
"D","10/01/2012","18",15223.36
"D","10/01/2012","19",15784.98
"D","10/01/2012","20",16148.79
"D","10/01/2012","21",15484.98
"D","10/01/2012","22",14302.24
"D","10/01/2012","23",12791.59
"D","10/01/2012","24",11432.73
"D","10/02/2012","01",10529.91
"D","10/02/2012","02",10036.48
"D","10/02/2012","03",9792.29
"D","10/02/2012","04",9727.54
"D","10/02/2012","05",9975.87
"D","10/02/2012","06",10949.41
"D","10/02/2012","07",12901.04
"D","10/02/2012","08",14044.12
"D","10/02/2012","09",14532.92
"D","10/02/2012","10",14840.01
"D","10/02/2012","11",15241.39
"D","10/02/2012","12",15484.6
"D","10/02/2012","13",15495.82
"D","10/02/2012","14",15537.81
"D","10/02/2012","15",15420.8
"D","10/02/2012","16",15352.91
"D","10/02/2012","17",15424.49
"D","10/02/2012","18",15737.01
"D","10/02/2012","19",16263.46
"D","10/02/2012","20",16329.95
"D","10/02/2012","21",15628.55
"D","10/02/2012","22",14516.94
"D","10/02/2012","23",13034.13
"D","10/02/2012","24",11696.19
"D","10/03/2012","01",11325.95
"D","10/03/2012","02",11120.11
"D","10/03/2012","03",10985.66
"D","10/03/2012","04",10822.65
"D","10/03/2012","05",11304.9
"D","10/03/2012","06",12108.74
"D","10/03/2012","07",13252.55
"D","10/03/2012","08",14545.71
"D","10/03/2012","09",15029.81
"D","10/03/2012","10",15380.28
"D","10/03/2012","11",15709.21
"D","10/03/2012","12",15887.47
"D","10/03/2012","13",15841.35
"D","10/03/2012","14",15860.67
"D","10/03/2012","15",15750.59
"D","10/03/2012","16",15690.4
"D","10/03/2012","17",15780.46
"D","10/03/2012","18",16094.53
"D","10/03/2012","19",16593.92
"D","10/03/2012","20",16622.34
"D","10/03/2012","21",16018.43
"D","10/03/2012","22",14857.33
"D","10/03/2012","23",13448.1
"D","10/03/2012","24",12099.12
"D","10/04/2012","01",11509.62
"D","10/04/2012","02",11308.76
"D","10/04/2012","03",11271.0
"D","10/04/2012","04",11206.48
"D","10/04/2012","05",11441.42
"D","10/04/2012","06",12150.12
"D","10/04/2012","07",13497.8
"D","10/04/2012","08",14719.66
"D","10/04/2012","09",15225.12
"D","10/04/2012","10",15530.14
"D","10/04/2012","11",15839.28
"D","10/04/2012","12",15967.0
"D","10/04/2012","13",15941.48
"D","10/04/2012","14",15933.68
"D","10/04/2012","15",15774.7
"D","10/04/2012","16",15638.78
"D","10/04/2012","17",15721.32
"D","10/04/2012","18",16025.94
"D","10/04/2012","19",16511.42
"D","10/04/2012","20",16491.68
"D","10/04/2012","21",15851.21
"D","10/04/2012","22",14790.67
"D","10/04/2012","23",13449.37
"D","10/04/2012","24",12328.21
"D","10/05/2012","01",11595.89
"D","10/05/2012","02",11553.1
"D","10/05/2012","03",11273.45
"D","10/05/2012","04",11169.37
"D","10/05/2012","05",11377.82
"D","10/05/2012","06",11999.52
"D","10/05/2012","07",13080.37
"D","10/05/2012","08",14253.73
"D","10/05/2012","09",14828.8
"D","10/05/2012","10",15297.94
"D","10/05/2012","11",15747.97
"D","10/05/2012","12",15992.46
"D","10/05/2012","13",16034.82
"D","10/05/2012","14",16112.17
"D","10/05/2012","15",16064.57
"D","10/05/2012","16",15953.01
"D","10/05/2012","17",15836.3
"D","10/05/2012","18",15651.21
"D","10/05/2012","19",15955.38
"D","10/05/2012","20",16137.01
"D","10/05/2012","21",15496.16
"D","10/05/2012","22",14613.25
"D","10/05/2012","23",13421.82
"D","10/05/2012","24",12147.11
"D","10/06/2012","01",11223.57
"D","10/06/2012","02",10762.0
"D","10/06/2012","03",10417.14
"D","10/06/2012","04",10705.75
"D","10/06/2012","05",10713.67
"D","10/06/2012","06",10488.84
"D","10/06/2012","07",11069.02
"D","10/06/2012","08",11698.69
"D","10/06/2012","09",12815.43
"D","10/06/2012","10",13633.41
"D","10/06/2012","11",14092.18
"D","10/06/2012","12",14322.18
"D","10/06/2012","13",14343.66
"D","10/06/2012","14",14250.3
"D","10/06/2012","15",14153.55
"D","10/06/2012","16",14116.1
"D","10/06/2012","17",14250.68
"D","10/06/2012","18",14524.22
"D","10/06/2012","19",14829.53
"D","10/06/2012","20",14712.23
"D","10/06/2012","21",14131.66
"D","10/06/2012","22",13355.81
"D","10/06/2012","23",12326.03
"D","10/06/2012","24",11258.14
"D","10/07/2012","01",10380.13
"D","10/07/2012","02",10092.47
"D","10/07/2012","03",10264.02
"D","10/07/2012","04",10174.03
"D","10/07/2012","05",10039.47
"D","10/07/2012","06",9850.96
"D","10/07/2012","07",10040.03
"D","10/07/2012","08",10611.13
"D","10/07/2012","09",11613.44
"D","10/07/2012","10",12349.26
"D","10/07/2012","11",12731.3
"D","10/07/2012","12",12951.34
"D","10/07/2012","13",13089.42
"D","10/07/2012","14",13117.67
"D","10/07/2012","15",13106.1
"D","10/07/2012","16",13167.8
"D","10/07/2012","17",13387.47
"D","10/07/2012","18",13716.54
"D","10/07/2012","19",14431.82
"D","10/07/2012","20",14459.28
"D","10/07/2012","21",13930.55
"D","10/07/2012","22",13092.11
"D","10/07/2012","23",12055.55
"D","10/07/2012","24",10999.94
"D","10/08/2012","01",10186.67
"D","10/08/2012","02",9872.78
"D","10/08/2012","03",9777.99
"D","10/08/2012","04",9737.75
"D","10/08/2012","05",9958.69
"D","10/08/2012","06",10390.23
"D","10/08/2012","07",11580.03
"D","10/08/2012","08",12634.65
"D","10/08/2012","09",13527.82
"D","10/08/2012","10",14111.88
"D","10/08/2012","11",14456.11
"D","10/08/2012","12",14588.72
"D","10/08/2012","13",14516.9
"D","10/08/2012","14",14416.87
"D","10/08/2012","15",14298.7
"D","10/08/2012","16",14227.32
"D","10/08/2012","17",14414.0
"D","10/08/2012","18",14927.02
"D","10/08/2012","19",15817.56
"D","10/08/2012","20",15927.03
"D","10/08/2012","21",15240.34
"D","10/08/2012","22",14122.46
"D","10/08/2012","23",12681.38
"D","10/08/2012","24",11378.86
"D","10/09/2012","01",10477.74
"D","10/09/2012","02",10271.92
"D","10/09/2012","03",10036.78
"D","10/09/2012","04",10006.63
