"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20140108_20140122.csv"
"C","Report for: 01/08/2014 - 01/22/2014"
"C","Report generated: 06/30/2019 12:33:24 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","01/08/2014","01",15798.3
"D","01/08/2014","02",15366.71
"D","01/08/2014","03",15161.76
"D","01/08/2014","04",15420.7
"D","01/08/2014","05",15467.74
"D","01/08/2014","06",16342.08
"D","01/08/2014","07",18208.43
"D","01/08/2014","08",19409.46
"D","01/08/2014","09",19375.74
"D","01/08/2014","10",19241.5
"D","01/08/2014","11",19063.23
"D","01/08/2014","12",18769.66
"D","01/08/2014","13",18438.64
"D","01/08/2014","14",18272.93
"D","01/08/2014","15",18121.19
"D","01/08/2014","16",18270.06
"D","01/08/2014","17",19278.57
"D","01/08/2014","18",20662.67
"D","01/08/2014","19",20748.41
"D","01/08/2014","20",20392.98
"D","01/08/2014","21",19733.01
"D","01/08/2014","22",18528.8
"D","01/08/2014","23",16997.58
"D","01/08/2014","24",15579.32
"D","01/09/2014","01",14697.01
"D","01/09/2014","02",14485.21
"D","01/09/2014","03",14317.33
"D","01/09/2014","04",14315.65
"D","01/09/2014","05",14634.61
"D","01/09/2014","06",15442.59
"D","01/09/2014","07",17393.61
"D","01/09/2014","08",18534.77
"D","01/09/2014","09",18484.59
"D","01/09/2014","10",18263.14
"D","01/09/2014","11",18057.93
"D","01/09/2014","12",17799.62
"D","01/09/2014","13",17480.64
"D","01/09/2014","14",17315.83
"D","01/09/2014","15",17168.02
"D","01/09/2014","16",17293.3
"D","01/09/2014","17",18282.98
"D","01/09/2014","18",19717.12
"D","01/09/2014","19",19834.12
"D","01/09/2014","20",19461.38
"D","01/09/2014","21",18955.28
"D","01/09/2014","22",17938.12
"D","01/09/2014","23",16530.92
"D","01/09/2014","24",15283.67
"D","01/10/2014","01",14703.68
"D","01/10/2014","02",14643.36
"D","01/10/2014","03",14481.92
"D","01/10/2014","04",14442.24
"D","01/10/2014","05",14792.97
"D","01/10/2014","06",15483.22
"D","01/10/2014","07",16828.93
"D","01/10/2014","08",18026.47
"D","01/10/2014","09",18180.72
"D","01/10/2014","10",18289.06
"D","01/10/2014","11",18361.79
"D","01/10/2014","12",18282.62
"D","01/10/2014","13",18056.65
"D","01/10/2014","14",17842.96
"D","01/10/2014","15",17541.03
"D","01/10/2014","16",17453.96
"D","01/10/2014","17",18056.79
"D","01/10/2014","18",18855.55
"D","01/10/2014","19",18562.94
"D","01/10/2014","20",17964.23
"D","01/10/2014","21",17294.34
"D","01/10/2014","22",16358.65
"D","01/10/2014","23",15225.3
"D","01/10/2014","24",14432.49
"D","01/11/2014","01",13501.95
"D","01/11/2014","02",13089.69
"D","01/11/2014","03",12686.39
"D","01/11/2014","04",12897.92
