"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20121011.csv"
"C","Report for: 10/11/2012 - 10/11/2012"
"C","Report generated: 07/03/2019 14:00:44 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","10/11/2012","01",10987.98
"D","10/11/2012","02",10939.26
"D","10/11/2012","03",10704.46
"D","10/11/2012","04",10657.6
"D","10/11/2012","05",10896.83
"D","10/11/2012","06",11436.04
"D","10/11/2012","07",13170.95
"D","10/11/2012","08",14282.44
"D","10/11/2012","09",14589.23
"D","10/11/2012","10",14723.25
"D","10/11/2012","11",14806.23
"D","10/11/2012","12",14811.74
"D","10/11/2012","13",14716.18
"D","10/11/2012","14",14674.97
"D","10/11/2012","15",14523.67
"D","10/11/2012","16",14443.28
"D","10/11/2012","17",14491.94
"D","10/11/2012","18",14780.46
"D","10/11/2012","19",15718.23
"D","10/11/2012","20",16041.75
"D","10/11/2012","21",15480.13
"D","10/11/2012","22",14413.48
"D","10/11/2012","23",13053.35
"D","10/11/2012","24",11741.36
"T","24 lines"
