"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20140708_20140722.csv"
"C","Report for: 07/08/2014 - 07/22/2014"
"C","Report generated: 06/30/2019 12:38:20 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","07/08/2014","01",15249.71
"D","07/08/2014","02",14878.38
"D","07/08/2014","03",14585.02
"D","07/08/2014","04",14324.34
"D","07/08/2014","05",14377.37
"D","07/08/2014","06",14752.61
"D","07/08/2014","07",15983.98
"D","07/08/2014","08",17008.67
"D","07/08/2014","09",18123.36
"D","07/08/2014","10",19191.36
"D","07/08/2014","11",20360.05
"D","07/08/2014","12",21322.88
"D","07/08/2014","13",22044.03
"D","07/08/2014","14",22778.76
"D","07/08/2014","15",23278.26
"D","07/08/2014","16",23570.62
"D","07/08/2014","17",23697.18
"D","07/08/2014","18",23569.19
"D","07/08/2014","19",22984.31
"D","07/08/2014","20",22084.65
"D","07/08/2014","21",21542.07
"D","07/08/2014","22",20747.95
"D","07/08/2014","23",18815.53
"D","07/08/2014","24",17243.29
"D","07/09/2014","01",16255.6
"D","07/09/2014","02",15628.33
"D","07/09/2014","03",15038.5
"D","07/09/2014","04",14696.76
"D","07/09/2014","05",14694.14
"D","07/09/2014","06",15156.36
"D","07/09/2014","07",16416.39
"D","07/09/2014","08",17430.53
"D","07/09/2014","09",18665.96
"D","07/09/2014","10",19644.27
"D","07/09/2014","11",20450.15
"D","07/09/2014","12",21090.45
"D","07/09/2014","13",21619.5
"D","07/09/2014","14",22104.76
"D","07/09/2014","15",22340.4
"D","07/09/2014","16",22586.3
"D","07/09/2014","17",22714.44
"D","07/09/2014","18",22593.92
"D","07/09/2014","19",21960.43
"D","07/09/2014","20",21152.2
"D","07/09/2014","21",20704.36
"D","07/09/2014","22",19915.38
"D","07/09/2014","23",18060.2
"D","07/09/2014","24",16417.25
"D","07/10/2014","01",15116.84
"D","07/10/2014","02",14540.77
"D","07/10/2014","03",14010.21
"D","07/10/2014","04",13957.64
"D","07/10/2014","05",13941.84
"D","07/10/2014","06",14410.07
"D","07/10/2014","07",15105.71
"D","07/10/2014","08",16161.24
"D","07/10/2014","09",17051.1
"D","07/10/2014","10",17773.4
"D","07/10/2014","11",18431.13
"D","07/10/2014","12",18893.37
"D","07/10/2014","13",19202.22
"D","07/10/2014","14",19603.61
"D","07/10/2014","15",19745.64
"D","07/10/2014","16",19783.69
"D","07/10/2014","17",20072.2
"D","07/10/2014","18",20198.56
"D","07/10/2014","19",19839.45
"D","07/10/2014","20",19144.35
"D","07/10/2014","21",18665.2
"D","07/10/2014","22",18094.92
"D","07/10/2014","23",16504.3
"D","07/10/2014","24",14989.22
"D","07/11/2014","01",13575.24
"D","07/11/2014","02",13163.51
"D","07/11/2014","03",12790.55
"D","07/11/2014","04",12667.76
"D","07/11/2014","05",12717.04
"D","07/11/2014","06",12977.1
"D","07/11/2014","07",13705.6
"D","07/11/2014","08",14996.94
"D","07/11/2014","09",16094.22
"D","07/11/2014","10",16928.18
"D","07/11/2014","11",17673.36
"D","07/11/2014","12",18201.57
"D","07/11/2014","13",18555.67
"D","07/11/2014","14",18978.27
"D","07/11/2014","15",19186.47
"D","07/11/2014","16",19286.34
"D","07/11/2014","17",19364.6
"D","07/11/2014","18",19207.86
"D","07/11/2014","19",18670.67
"D","07/11/2014","20",17876.04
"D","07/11/2014","21",17380.41
"D","07/11/2014","22",16911.1
"D","07/11/2014","23",15563.12
"D","07/11/2014","24",14035.13
"D","07/12/2014","01",13057.98
"D","07/12/2014","02",13246.95
"D","07/12/2014","03",12809.21
"D","07/12/2014","04",12473.4
"D","07/12/2014","05",11763.73
"D","07/12/2014","06",11730.91
"D","07/12/2014","07",12210.81
"D","07/12/2014","08",12971.05
"D","07/12/2014","09",14148.31
"D","07/12/2014","10",15272.15
"D","07/12/2014","11",16165.85
"D","07/12/2014","12",16834.21
"D","07/12/2014","13",17287.0
"D","07/12/2014","14",17663.93
"D","07/12/2014","15",17998.39
"D","07/12/2014","16",18294.15
"D","07/12/2014","17",18619.71
"D","07/12/2014","18",18776.24
"D","07/12/2014","19",18505.83
"D","07/12/2014","20",17863.41
"D","07/12/2014","21",17486.64
"D","07/12/2014","22",17099.86
"D","07/12/2014","23",15915.05
"D","07/12/2014","24",14547.02
"D","07/13/2014","01",13602.36
"D","07/13/2014","02",13149.14
"D","07/13/2014","03",13187.59
"D","07/13/2014","04",13143.81
"D","07/13/2014","05",12992.75
"D","07/13/2014","06",12906.49
"D","07/13/2014","07",12985.4
"D","07/13/2014","08",13734.58
"D","07/13/2014","09",14262.26
"D","07/13/2014","10",15207.65
"D","07/13/2014","11",16189.48
"D","07/13/2014","12",16980.23
"D","07/13/2014","13",17550.34
"D","07/13/2014","14",17900.56
"D","07/13/2014","15",18193.58
"D","07/13/2014","16",18542.52
"D","07/13/2014","17",18910.16
"D","07/13/2014","18",18989.78
"D","07/13/2014","19",18750.28
"D","07/13/2014","20",18391.0
"D","07/13/2014","21",18383.56
"D","07/13/2014","22",17853.05
"D","07/13/2014","23",16500.75
"D","07/13/2014","24",15103.37
"D","07/14/2014","01",14494.75
"D","07/14/2014","02",14411.68
"D","07/14/2014","03",14348.31
"D","07/14/2014","04",14490.14
"D","07/14/2014","05",14756.18
"D","07/14/2014","06",15322.2
"D","07/14/2014","07",15907.74
"D","07/14/2014","08",17088.47
"D","07/14/2014","09",18324.75
"D","07/14/2014","10",19389.29
"D","07/14/2014","11",20373.27
"D","07/14/2014","12",21069.44
"D","07/14/2014","13",21522.21
"D","07/14/2014","14",21926.91
"D","07/14/2014","15",21932.78
"D","07/14/2014","16",21878.18
"D","07/14/2014","17",21906.29
"D","07/14/2014","18",21686.34
"D","07/14/2014","19",21182.08
"D","07/14/2014","20",20747.15
"D","07/14/2014","21",20413.2
"D","07/14/2014","22",19482.52
"D","07/14/2014","23",17847.42
"D","07/14/2014","24",16370.23
"D","07/15/2014","01",15783.14
"D","07/15/2014","02",15516.92
"D","07/15/2014","03",15393.69
"D","07/15/2014","04",15227.7
"D","07/15/2014","05",15387.32
"D","07/15/2014","06",15898.4
"D","07/15/2014","07",16674.43
"D","07/15/2014","08",17804.02
"D","07/15/2014","09",18651.04
"D","07/15/2014","10",19515.38
"D","07/15/2014","11",20316.39
"D","07/15/2014","12",21038.42
"D","07/15/2014","13",21575.36
"D","07/15/2014","14",22099.94
"D","07/15/2014","15",22239.96
"D","07/15/2014","16",22139.94
"D","07/15/2014","17",21805.26
"D","07/15/2014","18",21501.87
"D","07/15/2014","19",21137.36
"D","07/15/2014","20",20755.11
"D","07/15/2014","21",20504.16
"D","07/15/2014","22",19623.66
"D","07/15/2014","23",17895.28
"D","07/15/2014","24",16233.28
"D","07/16/2014","01",15363.61
"D","07/16/2014","02",15043.58
"D","07/16/2014","03",14703.36
"D","07/16/2014","04",14519.03
"D","07/16/2014","05",14440.05
"D","07/16/2014","06",15115.78
"D","07/16/2014","07",15828.98
"D","07/16/2014","08",17215.53
"D","07/16/2014","09",18155.03
"D","07/16/2014","10",18575.27
"D","07/16/2014","11",18845.01
"D","07/16/2014","12",19081.59
"D","07/16/2014","13",19228.65
"D","07/16/2014","14",19377.46
"D","07/16/2014","15",19316.03
"D","07/16/2014","16",19065.0
"D","07/16/2014","17",19223.13
"D","07/16/2014","18",19391.73
"D","07/16/2014","19",19146.05
"D","07/16/2014","20",18743.86
"D","07/16/2014","21",18571.09
"D","07/16/2014","22",18020.36
"D","07/16/2014","23",16452.09
"D","07/16/2014","24",14748.76
"D","07/17/2014","01",13483.34
"D","07/17/2014","02",12997.87
"D","07/17/2014","03",12775.06
"D","07/17/2014","04",12711.42
"D","07/17/2014","05",12864.45
"D","07/17/2014","06",13138.49
"D","07/17/2014","07",13776.57
"D","07/17/2014","08",15145.16
"D","07/17/2014","09",16065.6
"D","07/17/2014","10",16761.97
"D","07/17/2014","11",17423.21
"D","07/17/2014","12",17911.54
"D","07/17/2014","13",18308.57
"D","07/17/2014","14",18730.11
"D","07/17/2014","15",18974.5
"D","07/17/2014","16",19117.48
"D","07/17/2014","17",19261.66
"D","07/17/2014","18",19046.73
"D","07/17/2014","19",18582.18
"D","07/17/2014","20",17998.98
"D","07/17/2014","21",17803.63
"D","07/17/2014","22",17315.99
"D","07/17/2014","23",15761.82
"D","07/17/2014","24",14136.28
"D","07/18/2014","01",13031.72
"D","07/18/2014","02",12852.17
"D","07/18/2014","03",12362.9
"D","07/18/2014","04",12105.22
"D","07/18/2014","05",12182.48
"D","07/18/2014","06",12681.26
"D","07/18/2014","07",13171.16
"D","07/18/2014","08",14585.34
"D","07/18/2014","09",15678.54
"D","07/18/2014","10",16464.8
"D","07/18/2014","11",17110.3
"D","07/18/2014","12",17547.7
"D","07/18/2014","13",17834.02
"D","07/18/2014","14",18235.04
"D","07/18/2014","15",18468.71
"D","07/18/2014","16",18540.43
"D","07/18/2014","17",18601.13
"D","07/18/2014","18",18447.88
"D","07/18/2014","19",17931.47
"D","07/18/2014","20",17246.46
"D","07/18/2014","21",16991.48
"D","07/18/2014","22",16479.43
