"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20150304_20150318.csv"
"C","Report for: 03/04/2015 - 03/18/2015"
"C","Report generated: 06/30/2019 12:43:16 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","03/04/2015","01",13650.05
"D","03/04/2015","02",13525.26
"D","03/04/2015","03",13384.0
"D","03/04/2015","04",13380.99
"D","03/04/2015","05",13670.41
"D","03/04/2015","06",14142.61
"D","03/04/2015","07",15237.54
"D","03/04/2015","08",16165.51
"D","03/04/2015","09",16464.12
"D","03/04/2015","10",16482.98
"D","03/04/2015","11",16755.04
"D","03/04/2015","12",16796.72
"D","03/04/2015","13",15459.67
"D","03/04/2015","14",16471.76
"D","03/04/2015","15",16280.97
"D","03/04/2015","16",16300.92
"D","03/04/2015","17",16679.28
"D","03/04/2015","18",17096.15
"D","03/04/2015","19",17750.1
"D","03/04/2015","20",17395.08
"D","03/04/2015","21",16744.29
"D","03/04/2015","22",15650.2
"D","03/04/2015","23",14286.1
"D","03/04/2015","24",13566.45
"D","03/05/2015","01",12661.66
"D","03/05/2015","02",12497.6
"D","03/05/2015","03",12326.02
"D","03/05/2015","04",12139.04
"D","03/05/2015","05",12443.64
"D","03/05/2015","06",13291.42
"D","03/05/2015","07",15069.04
"D","03/05/2015","08",16175.12
"D","03/05/2015","09",16593.87
"D","03/05/2015","10",16902.9
"D","03/05/2015","11",17214.15
"D","03/05/2015","12",17324.91
"D","03/05/2015","13",17295.0
"D","03/05/2015","14",17332.2
"D","03/05/2015","15",17200.0
"D","03/05/2015","16",17164.97
"D","03/05/2015","17",17510.05
"D","03/05/2015","18",18305.44
"D","03/05/2015","19",18874.81
"D","03/05/2015","20",18569.82
"D","03/05/2015","21",18017.43
"D","03/05/2015","22",16990.86
"D","03/05/2015","23",15705.99
"D","03/05/2015","24",14780.76
"D","03/06/2015","01",14163.81
"D","03/06/2015","02",14103.24
"D","03/06/2015","03",14067.22
"D","03/06/2015","04",13941.72
"D","03/06/2015","05",14249.1
"D","03/06/2015","06",15182.17
"D","03/06/2015","07",16866.6
"D","03/06/2015","08",17751.14
"D","03/06/2015","09",17748.57
"D","03/06/2015","10",17543.64
"D","03/06/2015","11",17359.15
"D","03/06/2015","12",17078.01
"D","03/06/2015","13",16702.47
"D","03/06/2015","14",16438.59
"D","03/06/2015","15",16155.0
"D","03/06/2015","16",16170.17
"D","03/06/2015","17",16390.13
"D","03/06/2015","18",17149.45
"D","03/06/2015","19",18112.12
"D","03/06/2015","20",17867.55
"D","03/06/2015","21",17397.24
"D","03/06/2015","22",16640.03
"D","03/06/2015","23",15633.31
"D","03/06/2015","24",14785.19
"D","03/07/2015","01",14005.38
"D","03/07/2015","02",13819.61
"D","03/07/2015","03",13643.96
"D","03/07/2015","04",13607.87
"D","03/07/2015","05",13790.36
"D","03/07/2015","06",14079.59
"D","03/07/2015","07",14639.55
"D","03/07/2015","08",15131.03
"D","03/07/2015","09",15672.53
"D","03/07/2015","10",15890.37
"D","03/07/2015","11",15798.58
"D","03/07/2015","12",15506.7
"D","03/07/2015","13",15306.37
"D","03/07/2015","14",14956.51
"D","03/07/2015","15",15017.39
"D","03/07/2015","16",14875.13
"D","03/07/2015","17",15214.64
"D","03/07/2015","18",15790.3
"D","03/07/2015","19",16590.34
"D","03/07/2015","20",16330.65
"D","03/07/2015","21",15855.15
"D","03/07/2015","22",15138.19
"D","03/07/2015","23",14399.37
"D","03/07/2015","24",13607.06
"D","03/08/2015","01",13345.85
"D","03/08/2015","02",13023.77
"D","03/08/2015","04",13063.78
"D","03/08/2015","05",13048.78
"D","03/08/2015","06",13267.52
"D","03/08/2015","07",13726.74
"D","03/08/2015","08",13793.96
"D","03/08/2015","09",14179.79
"D","03/08/2015","10",14566.52
"D","03/08/2015","11",14824.25
"D","03/08/2015","12",14840.84
"D","03/08/2015","13",14831.08
"D","03/08/2015","14",14676.8
"D","03/08/2015","15",14357.45
"D","03/08/2015","16",14174.17
"D","03/08/2015","17",14294.32
"D","03/08/2015","18",14772.15
"D","03/08/2015","19",15465.68
"D","03/08/2015","20",16418.68
"D","03/08/2015","21",16163.79
"D","03/08/2015","22",15302.34
"D","03/08/2015","23",14397.66
"D","03/08/2015","24",13792.59
"D","03/09/2015","01",13204.15
"D","03/09/2015","02",13284.28
"D","03/09/2015","03",13200.07
"D","03/09/2015","04",12948.28
"D","03/09/2015","05",13068.84
"D","03/09/2015","06",13875.73
"D","03/09/2015","07",15255.36
"D","03/09/2015","08",16458.15
"D","03/09/2015","09",16553.99
"D","03/09/2015","10",16251.03
"D","03/09/2015","11",15983.49
"D","03/09/2015","12",15694.07
"D","03/09/2015","13",15368.29
"D","03/09/2015","14",15218.8
"D","03/09/2015","15",15064.09
"D","03/09/2015","16",14898.15
"D","03/09/2015","17",14997.66
"D","03/09/2015","18",15316.78
"D","03/09/2015","19",15822.4
"D","03/09/2015","20",16730.19
"D","03/09/2015","21",16435.03
"D","03/09/2015","22",15470.8
"D","03/09/2015","23",14177.85
"D","03/09/2015","24",13086.1
"D","03/10/2015","01",12208.84
"D","03/10/2015","02",12025.6
"D","03/10/2015","03",12077.32
"D","03/10/2015","04",12176.16
"D","03/10/2015","05",12315.28
"D","03/10/2015","06",13299.7
"D","03/10/2015","07",15047.26
"D","03/10/2015","08",16194.54
"D","03/10/2015","09",16241.18
"D","03/10/2015","10",15940.18
"D","03/10/2015","11",15625.72
"D","03/10/2015","12",15314.89
"D","03/10/2015","13",15047.3
"D","03/10/2015","14",14890.25
"D","03/10/2015","15",14734.12
"D","03/10/2015","16",14743.5
"D","03/10/2015","17",15008.69
"D","03/10/2015","18",15249.67
"D","03/10/2015","19",16432.89
"D","03/10/2015","20",16603.14
"D","03/10/2015","21",16137.66
"D","03/10/2015","22",15138.12
"D","03/10/2015","23",13770.31
"D","03/10/2015","24",12933.03
"D","03/11/2015","01",12602.58
"D","03/11/2015","02",12370.59
"D","03/11/2015","03",12317.04
"D","03/11/2015","04",12358.82
"D","03/11/2015","05",12493.66
"D","03/11/2015","06",13134.62
"D","03/11/2015","07",14282.42
"D","03/11/2015","08",15290.47
"D","03/11/2015","09",15337.56
"D","03/11/2015","10",15013.18
"D","03/11/2015","11",14889.32
"D","03/11/2015","12",14714.24
"D","03/11/2015","13",14515.33
"D","03/11/2015","14",14340.34
"D","03/11/2015","15",14102.63
"D","03/11/2015","16",13991.64
"D","03/11/2015","17",14132.77
"D","03/11/2015","18",14532.88
"D","03/11/2015","19",14923.83
"D","03/11/2015","20",15748.21
"D","03/11/2015","21",15514.74
"D","03/11/2015","22",14662.51
"D","03/11/2015","23",13354.62
"D","03/11/2015","24",12171.59
"D","03/12/2015","01",11627.34
"D","03/12/2015","02",11646.34
"D","03/12/2015","03",11681.29
"D","03/12/2015","04",11472.27
"D","03/12/2015","05",11605.0
"D","03/12/2015","06",12354.82
"D","03/12/2015","07",14402.44
"D","03/12/2015","08",15563.64
"D","03/12/2015","09",15626.71
"D","03/12/2015","10",15442.02
"D","03/12/2015","11",15317.6
"D","03/12/2015","12",15132.11
"D","03/12/2015","13",14889.0
"D","03/12/2015","14",14765.64
"D","03/12/2015","15",14582.36
"D","03/12/2015","16",14489.98
"D","03/12/2015","17",14687.09
"D","03/12/2015","18",15199.7
"D","03/12/2015","19",15867.48
"D","03/12/2015","20",16784.73
"D","03/12/2015","21",16645.37
"D","03/12/2015","22",15757.75
"D","03/12/2015","23",14493.25
"D","03/12/2015","24",13318.33
"D","03/13/2015","01",13012.88
"D","03/13/2015","02",12743.95
"D","03/13/2015","03",12853.68
"D","03/13/2015","04",12889.69
"D","03/13/2015","05",13066.55
"D","03/13/2015","06",13919.36
"D","03/13/2015","07",15431.19
"D","03/13/2015","08",16538.77
"D","03/13/2015","09",16518.9
"D","03/13/2015","10",16226.19
"D","03/13/2015","11",15937.81
"D","03/13/2015","12",15672.28
"D","03/13/2015","13",15366.04
"D","03/13/2015","14",15094.07
"D","03/13/2015","15",14742.14
"D","03/13/2015","16",14519.47
"D","03/13/2015","17",14603.18
"D","03/13/2015","18",14917.53
"D","03/13/2015","19",15375.67
"D","03/13/2015","20",16090.4
"D","03/13/2015","21",15814.95
"D","03/13/2015","22",15124.57
"D","03/13/2015","23",14102.72
"D","03/13/2015","24",13049.58
"D","03/14/2015","01",12367.55
"D","03/14/2015","02",12253.56
"D","03/14/2015","03",11987.54
"D","03/14/2015","04",11846.64
"D","03/14/2015","05",11912.01
"D","03/14/2015","06",12267.67
"D","03/14/2015","07",12743.46
"D","03/14/2015","08",13368.07
"D","03/14/2015","09",14312.63
"D","03/14/2015","10",15032.42
"D","03/14/2015","11",15433.24
"D","03/14/2015","12",15524.37
"D","03/14/2015","13",15416.86
"D","03/14/2015","14",15185.25
"D","03/14/2015","15",14962.37
"D","03/14/2015","16",14821.9
"D","03/14/2015","17",14924.9
"D","03/14/2015","18",15140.95
"D","03/14/2015","19",15322.89
"D","03/14/2015","20",15476.91
"D","03/14/2015","21",15099.35
"D","03/14/2015","22",14443.15
"D","03/14/2015","23",13555.13
"D","03/14/2015","24",12557.32
"D","03/15/2015","01",12030.33
"D","03/15/2015","02",12160.38
"D","03/15/2015","03",11958.09
"D","03/15/2015","04",11682.56
"D","03/15/2015","05",11691.78
"D","03/15/2015","06",12034.22
"D","03/15/2015","07",12349.43
"D","03/15/2015","08",12604.93
"D","03/15/2015","09",13508.71
"D","03/15/2015","10",13946.96
"D","03/15/2015","11",14259.9
"D","03/15/2015","12",14466.21
"D","03/15/2015","13",14507.12
"D","03/15/2015","14",14283.5
"D","03/15/2015","15",14132.43
"D","03/15/2015","16",14250.44
"D","03/15/2015","17",14668.59
"D","03/15/2015","18",15202.38
"D","03/15/2015","19",15637.67
"D","03/15/2015","20",16244.56
"D","03/15/2015","21",15929.38
"D","03/15/2015","22",15018.21
"D","03/15/2015","23",13860.1
"D","03/15/2015","24",12793.78
"D","03/16/2015","01",12454.92
"D","03/16/2015","02",12292.82
"D","03/16/2015","03",12155.0
"D","03/16/2015","04",12211.96
"D","03/16/2015","05",12599.02
"D","03/16/2015","06",13316.94
"D","03/16/2015","07",15173.27
"D","03/16/2015","08",16227.92
"D","03/16/2015","09",16193.16
"D","03/16/2015","10",15917.7
"D","03/16/2015","11",15686.48
"D","03/16/2015","12",15393.9
"D","03/16/2015","13",15086.66
"D","03/16/2015","14",15052.77
"D","03/16/2015","15",14992.96
"D","03/16/2015","16",14804.27
"D","03/16/2015","17",14678.34
"D","03/16/2015","18",15017.78
"D","03/16/2015","19",15637.5
"D","03/16/2015","20",16455.58
"D","03/16/2015","21",16149.88
"D","03/16/2015","22",15152.21
"D","03/16/2015","23",13817.39
"D","03/16/2015","24",12666.06
"D","03/17/2015","01",12395.82
"D","03/17/2015","02",12423.59
"D","03/17/2015","03",12459.77
"D","03/17/2015","04",12442.98
"D","03/17/2015","05",12421.66
"D","03/17/2015","06",13014.89
"D","03/17/2015","07",14474.26
"D","03/17/2015","08",15645.02
"D","03/17/2015","09",15959.12
"D","03/17/2015","10",16091.65
"D","03/17/2015","11",16171.18
"D","03/17/2015","12",16017.22
"D","03/17/2015","13",15582.02
"D","03/17/2015","14",15293.72
"D","03/17/2015","15",15031.53
"D","03/17/2015","16",14809.51
"D","03/17/2015","17",15069.72
"D","03/17/2015","18",15481.63
"D","03/17/2015","19",15904.52
"D","03/17/2015","20",16750.3
"D","03/17/2015","21",16608.87
"D","03/17/2015","22",15732.03
"D","03/17/2015","23",14460.5
"D","03/17/2015","24",13328.69
"D","03/18/2015","01",12853.14
"D","03/18/2015","02",12993.01
"D","03/18/2015","03",12926.4
"D","03/18/2015","04",12977.12
"D","03/18/2015","05",13109.94
"D","03/18/2015","06",13701.51
"D","03/18/2015","07",15627.68
"D","03/18/2015","08",16714.91
"D","03/18/2015","09",16683.1
"D","03/18/2015","10",16404.4
"D","03/18/2015","11",16224.77
"D","03/18/2015","12",16067.45
"D","03/18/2015","13",15873.88
"D","03/18/2015","14",15753.52
"D","03/18/2015","15",15571.13
"D","03/18/2015","16",15515.47
"D","03/18/2015","17",15718.77
"D","03/18/2015","18",16285.55
"D","03/18/2015","19",16893.74
"D","03/18/2015","20",17796.36
"D","03/18/2015","21",17602.45
"D","03/18/2015","22",16601.63
"D","03/18/2015","23",15223.01
"D","03/18/2015","24",14082.9
"T","359 lines"
