"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20130210.csv"
"C","Report for: 02/10/2013 - 02/10/2013"
"C","Report generated: 07/03/2019 14:31:17 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","02/10/2013","01",13238.04
"D","02/10/2013","02",12839.59
"D","02/10/2013","03",12664.6
"D","02/10/2013","04",12611.72
"D","02/10/2013","05",12711.72
"D","02/10/2013","06",13063.62
"D","02/10/2013","07",13602.49
"D","02/10/2013","08",14156.93
"D","02/10/2013","09",14865.36
"D","02/10/2013","10",15295.7
"D","02/10/2013","11",15366.58
"D","02/10/2013","12",15299.33
"D","02/10/2013","13",15087.88
"D","02/10/2013","14",14808.23
"D","02/10/2013","15",14787.95
"D","02/10/2013","16",14794.71
"D","02/10/2013","17",15281.41
"D","02/10/2013","18",16768.1
"D","02/10/2013","19",17595.36
"D","02/10/2013","20",17296.2
"D","02/10/2013","21",16715.58
"D","02/10/2013","22",15831.77
"D","02/10/2013","23",14822.74
"D","02/10/2013","24",13857.04
"T","24 lines"
