"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20130514_20130528.csv"
"C","Report for: 05/14/2013 - 05/28/2013"
"C","Report generated: 06/30/2019 12:14:22 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","05/14/2013","01",10379.9
"D","05/14/2013","02",9938.95
"D","05/14/2013","03",9722.36
"D","05/14/2013","04",9690.25
"D","05/14/2013","05",9981.46
"D","05/14/2013","06",10874.33
"D","05/14/2013","07",12563.62
"D","05/14/2013","08",13835.9
"D","05/14/2013","09",14116.67
"D","05/14/2013","10",14236.39
"D","05/14/2013","11",14458.96
"D","05/14/2013","12",14544.98
"D","05/14/2013","13",14471.19
"D","05/14/2013","14",14485.98
"D","05/14/2013","15",14312.52
"D","05/14/2013","16",14180.44
"D","05/14/2013","17",14225.55
"D","05/14/2013","18",14339.7
"D","05/14/2013","19",14352.99
"D","05/14/2013","20",14453.42
"D","05/14/2013","21",14891.54
"D","05/14/2013","22",14164.93
"D","05/14/2013","23",12701.75
"D","05/14/2013","24",11314.12
"D","05/15/2013","01",10474.83
"D","05/15/2013","02",10044.72
"D","05/15/2013","03",10082.09
"D","05/15/2013","04",10142.58
"D","05/15/2013","05",10250.15
"D","05/15/2013","06",11040.62
"D","05/15/2013","07",12763.74
"D","05/15/2013","08",13964.84
"D","05/15/2013","09",14294.37
"D","05/15/2013","10",14471.09
"D","05/15/2013","11",14651.06
"D","05/15/2013","12",14761.68
"D","05/15/2013","13",14740.96
"D","05/15/2013","14",14734.88
"D","05/15/2013","15",14609.16
"D","05/15/2013","16",14584.2
"D","05/15/2013","17",14687.07
"D","05/15/2013","18",14879.75
"D","05/15/2013","19",14947.98
"D","05/15/2013","20",14974.87
"D","05/15/2013","21",15097.52
"D","05/15/2013","22",14259.11
"D","05/15/2013","23",12762.9
"D","05/15/2013","24",11388.48
"D","05/16/2013","01",10979.29
"D","05/16/2013","02",10681.66
"D","05/16/2013","03",10790.35
"D","05/16/2013","04",10777.02
"D","05/16/2013","05",10948.29
"D","05/16/2013","06",11481.16
"D","05/16/2013","07",12565.1
"D","05/16/2013","08",13832.27
"D","05/16/2013","09",14376.51
"D","05/16/2013","10",14680.51
"D","05/16/2013","11",15053.9
"D","05/16/2013","12",15226.52
"D","05/16/2013","13",15168.52
"D","05/16/2013","14",15287.16
"D","05/16/2013","15",15295.35
"D","05/16/2013","16",15264.2
"D","05/16/2013","17",15290.09
"D","05/16/2013","18",15223.23
"D","05/16/2013","19",15020.07
"D","05/16/2013","20",14977.44
"D","05/16/2013","21",15346.76
"D","05/16/2013","22",14688.16
"D","05/16/2013","23",13206.43
"D","05/16/2013","24",11738.55
"D","05/17/2013","01",10974.98
"D","05/17/2013","02",10912.39
"D","05/17/2013","03",10622.26
"D","05/17/2013","04",10695.58
"D","05/17/2013","05",10988.34
"D","05/17/2013","06",11464.59
"D","05/17/2013","07",12483.54
"D","05/17/2013","08",13586.56
"D","05/17/2013","09",14140.15
"D","05/17/2013","10",14449.93
"D","05/17/2013","11",14705.2
"D","05/17/2013","12",14823.46
"D","05/17/2013","13",14790.31
"D","05/17/2013","14",14803.89
"D","05/17/2013","15",14704.8
"D","05/17/2013","16",14591.16
"D","05/17/2013","17",14536.93
"D","05/17/2013","18",14416.39
"D","05/17/2013","19",14092.31
"D","05/17/2013","20",13930.83
"D","05/17/2013","21",14307.32
"D","05/17/2013","22",13839.28
"D","05/17/2013","23",12685.19
"D","05/17/2013","24",11445.73
"D","05/18/2013","01",10491.08
"D","05/18/2013","02",10139.67
"D","05/18/2013","03",10086.91
"D","05/18/2013","04",9963.94
"D","05/18/2013","05",9999.64
"D","05/18/2013","06",9928.22
"D","05/18/2013","07",10275.28
"D","05/18/2013","08",11307.13
