"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20160908_20160922.csv"
"C","Report for: 09/08/2016 - 09/22/2016"
"C","Report generated: 06/30/2019 12:52:44 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","09/08/2016","01",14229.62
"D","09/08/2016","02",13788.68
"D","09/08/2016","03",13396.36
"D","09/08/2016","04",13214.69
"D","09/08/2016","05",13371.42
"D","09/08/2016","06",14293.12
"D","09/08/2016","07",15534.43
"D","09/08/2016","08",15932.56
"D","09/08/2016","09",16514.97
"D","09/08/2016","10",17052.6
"D","09/08/2016","11",17596.69
"D","09/08/2016","12",18066.13
"D","09/08/2016","13",18484.14
"D","09/08/2016","14",18933.98
"D","09/08/2016","15",19319.52
"D","09/08/2016","16",19716.68
"D","09/08/2016","17",20197.1
"D","09/08/2016","18",20416.82
"D","09/08/2016","19",20075.17
"D","09/08/2016","20",20173.79
"D","09/08/2016","21",19689.44
"D","09/08/2016","22",18389.42
"D","09/08/2016","23",16735.5
"D","09/08/2016","24",15774.97
"D","09/09/2016","01",15229.17
"D","09/09/2016","02",14693.48
"D","09/09/2016","03",14280.07
"D","09/09/2016","04",14104.58
"D","09/09/2016","05",14311.84
"D","09/09/2016","06",15267.31
"D","09/09/2016","07",16590.73
"D","09/09/2016","08",17357.95
"D","09/09/2016","09",17906.19
"D","09/09/2016","10",18725.36
"D","09/09/2016","11",19570.95
"D","09/09/2016","12",20522.27
"D","09/09/2016","13",21328.11
"D","09/09/2016","14",22029.43
"D","09/09/2016","15",22463.05
"D","09/09/2016","16",22805.82
"D","09/09/2016","17",23033.85
"D","09/09/2016","18",22772.22
"D","09/09/2016","19",22017.19
"D","09/09/2016","20",21630.82
"D","09/09/2016","21",20858.72
"D","09/09/2016","22",19443.39
"D","09/09/2016","23",17759.16
"D","09/09/2016","24",16073.4
"D","09/10/2016","01",15016.62
"D","09/10/2016","02",14173.89
"D","09/10/2016","03",13982.57
"D","09/10/2016","04",13933.41
"D","09/10/2016","05",14048.31
"D","09/10/2016","06",14020.13
