"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20171103_20171116.csv"
"C","Report for: 11/03/2017 - 11/16/2017"
"C","Report generated: 07/03/2019 14:48:29 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","11/03/2017","01",10576.5
"D","11/03/2017","02",10427.91
"D","11/03/2017","03",10416.53
"D","11/03/2017","04",10353.49
"D","11/03/2017","05",10579.53
"D","11/03/2017","06",11126.7
"D","11/03/2017","07",12416.42
"D","11/03/2017","08",13342.68
"D","11/03/2017","09",13569.25
"D","11/03/2017","10",13583.72
"D","11/03/2017","11",13520.71
"D","11/03/2017","12",13567.02
"D","11/03/2017","13",13578.04
"D","11/03/2017","14",13764.65
"D","11/03/2017","15",13934.56
"D","11/03/2017","16",13970.53
"D","11/03/2017","17",14366.46
"D","11/03/2017","18",14637.08
"D","11/03/2017","19",14728.79
"D","11/03/2017","20",14168.45
"D","11/03/2017","21",13476.32
"D","11/03/2017","22",12628.96
"D","11/03/2017","23",11768.2
"D","11/03/2017","24",11131.07
"D","11/04/2017","01",10374.1
"D","11/04/2017","02",9911.83
"D","11/04/2017","03",9544.97
"D","11/04/2017","04",9533.03
"D","11/04/2017","05",9654.38
"D","11/04/2017","06",10024.53
"D","11/04/2017","07",10561.57
"D","11/04/2017","08",11128.15
"D","11/04/2017","09",11758.74
"D","11/04/2017","10",11820.6
"D","11/04/2017","11",11617.07
"D","11/04/2017","12",11388.81
"D","11/04/2017","13",11180.14
"D","11/04/2017","14",11159.21
"D","11/04/2017","15",11258.78
"D","11/04/2017","16",11533.53
"D","11/04/2017","17",12098.99
"D","11/04/2017","18",13008.74
"D","11/04/2017","19",13592.87
"D","11/04/2017","20",13245.64
"D","11/04/2017","21",12806.14
"D","11/04/2017","22",12212.08
"D","11/04/2017","23",11397.91
"D","11/04/2017","24",10571.42
"D","11/05/2017","01",9870.17
"D","11/05/2017","02",9780.04
"D","11/05/2017","02X",9845.78
"D","11/05/2017","03",9806.39
