"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20170721_20170804.csv"
"C","Report for: 07/21/2017 - 08/04/2017"
"C","Report generated: 07/03/2019 14:43:04 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","07/21/2017","01",16316.55
"D","07/21/2017","02",15775.52
"D","07/21/2017","03",15118.91
"D","07/21/2017","04",14695.49
"D","07/21/2017","05",14618.63
"D","07/21/2017","06",15024.13
"D","07/21/2017","07",16097.11
"D","07/21/2017","08",16977.62
"D","07/21/2017","09",17413.52
"D","07/21/2017","10",18310.54
"D","07/21/2017","11",19142.44
"D","07/21/2017","12",19822.82
"D","07/21/2017","13",20398.59
"D","07/21/2017","14",21107.41
"D","07/21/2017","15",21691.77
"D","07/21/2017","16",22266.73
"D","07/21/2017","17",22668.79
"D","07/21/2017","18",22728.99
"D","07/21/2017","19",22285.48
"D","07/21/2017","20",21485.28
"D","07/21/2017","21",20859.12
"D","07/21/2017","22",19961.19
"D","07/21/2017","23",18358.5
"D","07/21/2017","24",16906.81
"D","07/22/2017","01",15563.46
"D","07/22/2017","02",14798.39
"D","07/22/2017","03",14389.02
"D","07/22/2017","04",14199.59
"D","07/22/2017","05",13909.5
"D","07/22/2017","06",13585.51
"D","07/22/2017","07",13719.57
"D","07/22/2017","08",14344.27
"D","07/22/2017","09",15122.93
"D","07/22/2017","10",15924.79
"D","07/22/2017","11",16556.94
"D","07/22/2017","12",17189.02
"D","07/22/2017","13",17756.7
"D","07/22/2017","14",18200.55
"D","07/22/2017","15",18461.04
"D","07/22/2017","16",18697.75
"D","07/22/2017","17",18889.56
"D","07/22/2017","18",18863.99
"D","07/22/2017","19",18560.36
"D","07/22/2017","20",18200.55
"D","07/22/2017","21",18034.81
"D","07/22/2017","22",17466.04
"D","07/22/2017","23",16293.57
"D","07/22/2017","24",15004.43
"D","07/23/2017","01",14131.37
"D","07/23/2017","02",13622.72
"D","07/23/2017","03",13213.17
"D","07/23/2017","04",13081.15
"D","07/23/2017","05",12888.73
"D","07/23/2017","06",12750.71
"D","07/23/2017","07",12811.08
"D","07/23/2017","08",13311.89
"D","07/23/2017","09",13876.42
"D","07/23/2017","10",14122.64
"D","07/23/2017","11",14325.8
"D","07/23/2017","12",14714.11
"D","07/23/2017","13",15057.29
"D","07/23/2017","14",15253.7
"D","07/23/2017","15",15348.08
"D","07/23/2017","16",15575.72
"D","07/23/2017","17",15940.08
"D","07/23/2017","18",16220.06
"D","07/23/2017","19",16150.84
"D","07/23/2017","20",15829.43
"D","07/23/2017","21",15797.02
"D","07/23/2017","22",15242.87
"D","07/23/2017","23",14233.33
"D","07/23/2017","24",13096.82
"D","07/24/2017","01",12192.79
"D","07/24/2017","02",11894.48
"D","07/24/2017","03",11846.76
"D","07/24/2017","04",11749.58
"D","07/24/2017","05",11943.55
"D","07/24/2017","06",12443.99
"D","07/24/2017","07",13132.47
"D","07/24/2017","08",14219.1
"D","07/24/2017","09",14814.74
"D","07/24/2017","10",15173.34
"D","07/24/2017","11",15434.02
"D","07/24/2017","12",15452.91
"D","07/24/2017","13",15354.06
"D","07/24/2017","14",15272.12
"D","07/24/2017","15",15052.74
"D","07/24/2017","16",14817.47
"D","07/24/2017","17",14792.64
"D","07/24/2017","18",14908.5
"D","07/24/2017","19",14799.95
"D","07/24/2017","20",14576.75
"D","07/24/2017","21",14383.37
"D","07/24/2017","22",13653.02
"D","07/24/2017","23",12737.78
"D","07/24/2017","24",11590.23
"D","07/25/2017","01",11091.36
"D","07/25/2017","02",11250.29
"D","07/25/2017","03",11177.93
"D","07/25/2017","04",11102.34
"D","07/25/2017","05",11322.19
"D","07/25/2017","06",11877.39
"D","07/25/2017","07",12213.86
"D","07/25/2017","08",13153.65
"D","07/25/2017","09",13797.32
"D","07/25/2017","10",14224.56
"D","07/25/2017","11",14518.18
"D","07/25/2017","12",14687.5
"D","07/25/2017","13",14625.25
"D","07/25/2017","14",14626.27
"D","07/25/2017","15",14541.89
"D","07/25/2017","16",14464.45
"D","07/25/2017","17",14504.86
"D","07/25/2017","18",14620.31
"D","07/25/2017","19",14612.73
"D","07/25/2017","20",14470.54
"D","07/25/2017","21",14454.71
"D","07/25/2017","22",13921.09
"D","07/25/2017","23",12715.27
"D","07/25/2017","24",11631.27
"D","07/26/2017","01",11078.93
"D","07/26/2017","02",10369.94
"D","07/26/2017","03",10075.68
"D","07/26/2017","04",10213.24
"D","07/26/2017","05",10261.82
"D","07/26/2017","06",10622.61
"D","07/26/2017","07",11743.84
"D","07/26/2017","08",12955.47
"D","07/26/2017","09",13583.02
"D","07/26/2017","10",13952.29
"D","07/26/2017","11",14345.23
"D","07/26/2017","12",14704.03
"D","07/26/2017","13",15011.36
"D","07/26/2017","14",15373.0
"D","07/26/2017","15",15599.98
"D","07/26/2017","16",15898.8
"D","07/26/2017","17",16394.96
"D","07/26/2017","18",16745.51
"D","07/26/2017","19",16644.86
"D","07/26/2017","20",16229.47
"D","07/26/2017","21",16098.33
"D","07/26/2017","22",15447.06
"D","07/26/2017","23",14042.22
"D","07/26/2017","24",12676.53
"D","07/27/2017","01",11901.23
"D","07/27/2017","02",11705.52
"D","07/27/2017","03",11472.79
"D","07/27/2017","04",11540.52
"D","07/27/2017","05",11722.8
"D","07/27/2017","06",12193.4
"D","07/27/2017","07",12630.74
"D","07/27/2017","08",13733.63
"D","07/27/2017","09",14449.97
"D","07/27/2017","10",14878.79
"D","07/27/2017","11",15213.34
"D","07/27/2017","12",15671.66
"D","07/27/2017","13",15965.38
"D","07/27/2017","14",16141.8
"D","07/27/2017","15",16133.56
"D","07/27/2017","16",16028.63
"D","07/27/2017","17",16016.25
"D","07/27/2017","18",16060.16
"D","07/27/2017","19",15979.09
"D","07/27/2017","20",15840.13
"D","07/27/2017","21",15919.79
"D","07/27/2017","22",15432.35
"D","07/27/2017","23",14219.29
"D","07/27/2017","24",13179.05
"D","07/28/2017","01",12314.83
"D","07/28/2017","02",12166.0
"D","07/28/2017","03",12063.25
"D","07/28/2017","04",12015.17
"D","07/28/2017","05",12166.28
"D","07/28/2017","06",12521.1
"D","07/28/2017","07",13019.73
"D","07/28/2017","08",14257.77
"D","07/28/2017","09",15195.44
"D","07/28/2017","10",15828.92
"D","07/28/2017","11",16472.79
"D","07/28/2017","12",17004.2
"D","07/28/2017","13",17403.98
"D","07/28/2017","14",17795.41
