"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20171202_20171216.csv"
"C","Report for: 12/02/2017 - 12/16/2017"
"C","Report generated: 07/03/2019 14:51:11 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","12/02/2017","01",11350.27
"D","12/02/2017","02",11193.5
"D","12/02/2017","03",11490.36
"D","12/02/2017","04",11533.98
"D","12/02/2017","05",11691.38
"D","12/02/2017","06",12127.64
"D","12/02/2017","07",12410.89
"D","12/02/2017","08",13007.52
"D","12/02/2017","09",13530.01
"D","12/02/2017","10",13601.28
"D","12/02/2017","11",13516.82
"D","12/02/2017","12",13406.98
"D","12/02/2017","13",13285.56
"D","12/02/2017","14",13322.87
"D","12/02/2017","15",13695.68
"D","12/02/2017","16",14086.29
"D","12/02/2017","17",14992.05
"D","12/02/2017","18",15586.8
"D","12/02/2017","19",15366.65
"D","12/02/2017","20",14968.48
"D","12/02/2017","21",14541.86
"D","12/02/2017","22",13904.23
"D","12/02/2017","23",13012.11
"D","12/02/2017","24",12180.75
"D","12/03/2017","01",11558.5
"D","12/03/2017","02",11379.87
"D","12/03/2017","03",11692.91
"D","12/03/2017","04",11630.33
"D","12/03/2017","05",11745.07
"D","12/03/2017","06",12071.38
"D","12/03/2017","07",12439.22
"D","12/03/2017","08",12785.16
"D","12/03/2017","09",13201.16
"D","12/03/2017","10",13313.38
"D","12/03/2017","11",13277.27
"D","12/03/2017","12",13303.86
"D","12/03/2017","13",13489.46
"D","12/03/2017","14",13638.49
"D","12/03/2017","15",13786.43
"D","12/03/2017","16",14108.61
"D","12/03/2017","17",15347.46
"D","12/03/2017","18",16175.09
"D","12/03/2017","19",16062.21
"D","12/03/2017","20",15643.88
"D","12/03/2017","21",15004.39
"D","12/03/2017","22",14012.63
"D","12/03/2017","23",12920.19
"D","12/03/2017","24",11955.18
"D","12/04/2017","01",11576.43
"D","12/04/2017","02",11439.3
"D","12/04/2017","03",11561.57
"D","12/04/2017","04",11672.43
"D","12/04/2017","05",12105.63
"D","12/04/2017","06",12966.58
"D","12/04/2017","07",14503.45
"D","12/04/2017","08",15144.0
"D","12/04/2017","09",14987.64
"D","12/04/2017","10",14439.57
"D","12/04/2017","11",14064.31
"D","12/04/2017","12",14025.88
"D","12/04/2017","13",13873.96
"D","12/04/2017","14",13989.44
"D","12/04/2017","15",14130.79
"D","12/04/2017","16",14617.01
"D","12/04/2017","17",15976.17
"D","12/04/2017","18",17026.2
"D","12/04/2017","19",17001.83
"D","12/04/2017","20",16585.13
"D","12/04/2017","21",15933.63
"D","12/04/2017","22",14865.05
"D","12/04/2017","23",13434.17
"D","12/04/2017","24",12440.28
"D","12/05/2017","01",11645.66
"D","12/05/2017","02",11413.87
"D","12/05/2017","03",11245.36
"D","12/05/2017","04",11215.45
"D","12/05/2017","05",11542.08
"D","12/05/2017","06",12310.32
"D","12/05/2017","07",13919.86
"D","12/05/2017","08",14926.84
"D","12/05/2017","09",15086.16
"D","12/05/2017","10",15153.08
"D","12/05/2017","11",15270.8
"D","12/05/2017","12",15357.43
"D","12/05/2017","13",15365.62
"D","12/05/2017","14",15373.14
"D","12/05/2017","15",15325.86
"D","12/05/2017","16",15507.48
"D","12/05/2017","17",16321.2
"D","12/05/2017","18",16826.88
"D","12/05/2017","19",16594.05
"D","12/05/2017","20",16069.97
"D","12/05/2017","21",15334.06
"D","12/05/2017","22",14235.86
"D","12/05/2017","23",12791.5
"D","12/05/2017","24",11710.86
"D","12/06/2017","01",11148.8
"D","12/06/2017","02",10868.36
"D","12/06/2017","03",10754.17
"D","12/06/2017","04",10703.46
"D","12/06/2017","05",10974.38
"D","12/06/2017","06",11499.13
"D","12/06/2017","07",12949.12
"D","12/06/2017","08",14077.84
"D","12/06/2017","09",14357.57
"D","12/06/2017","10",14419.64
"D","12/06/2017","11",14427.97
"D","12/06/2017","12",14273.08
"D","12/06/2017","13",13849.92
"D","12/06/2017","14",13618.53
"D","12/06/2017","15",13858.46
"D","12/06/2017","16",14767.54
"D","12/06/2017","17",15852.86
"D","12/06/2017","18",16849.64
"D","12/06/2017","19",16754.25
"D","12/06/2017","20",16410.92
"D","12/06/2017","21",15831.99
"D","12/06/2017","22",14853.36
"D","12/06/2017","23",13668.55
"D","12/06/2017","24",12555.53
"D","12/07/2017","01",12310.38
"D","12/07/2017","02",12181.13
"D","12/07/2017","03",12317.35
"D","12/07/2017","04",12336.4
"D","12/07/2017","05",12501.49
"D","12/07/2017","06",13175.22
"D","12/07/2017","07",14370.46
"D","12/07/2017","08",15332.7
"D","12/07/2017","09",15092.46
"D","12/07/2017","10",14531.98
"D","12/07/2017","11",14136.43
"D","12/07/2017","12",13920.68
"D","12/07/2017","13",14021.64
"D","12/07/2017","14",14344.09
"D","12/07/2017","15",14609.87
"D","12/07/2017","16",14880.6
"D","12/07/2017","17",16067.46
"D","12/07/2017","18",16962.07
"D","12/07/2017","19",16880.91
"D","12/07/2017","20",16534.46
"D","12/07/2017","21",15963.46
"D","12/07/2017","22",15045.05
"D","12/07/2017","23",13630.12
"D","12/07/2017","24",12732.46
"D","12/08/2017","01",11975.54
"D","12/08/2017","02",11762.09
"D","12/08/2017","03",11698.25
"D","12/08/2017","04",11727.02
"D","12/08/2017","05",12114.36
"D","12/08/2017","06",12969.99
"D","12/08/2017","07",14535.12
"D","12/08/2017","08",15577.51
"D","12/08/2017","09",15611.93
"D","12/08/2017","10",15272.82
"D","12/08/2017","11",15069.68
"D","12/08/2017","12",15049.46
"D","12/08/2017","13",14943.49
"D","12/08/2017","14",15226.69
"D","12/08/2017","15",15415.93
"D","12/08/2017","16",15607.18
"D","12/08/2017","17",16591.66
"D","12/08/2017","18",17126.67
"D","12/08/2017","19",16829.63
"D","12/08/2017","20",16368.48
"D","12/08/2017","21",15810.77
"D","12/08/2017","22",15024.82
"D","12/08/2017","23",14100.52
"D","12/08/2017","24",13350.76
"D","12/09/2017","01",12488.11
"D","12/09/2017","02",11996.26
"D","12/09/2017","03",12138.33
"D","12/09/2017","04",12119.15
"D","12/09/2017","05",12234.68
"D","12/09/2017","06",12307.68
"D","12/09/2017","07",12479.33
"D","12/09/2017","08",13268.32
"D","12/09/2017","09",14163.79
"D","12/09/2017","10",14712.71
"D","12/09/2017","11",15121.33
"D","12/09/2017","12",15462.78
"D","12/09/2017","13",15642.78
"D","12/09/2017","14",15677.6
"D","12/09/2017","15",15705.55
