"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20150118_20150201.csv"
"C","Report for: 01/18/2015 - 02/01/2015"
"C","Report generated: 06/30/2019 12:42:25 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","01/18/2015","01",14091.45
"D","01/18/2015","02",13759.22
"D","01/18/2015","03",13535.21
"D","01/18/2015","04",13528.25
"D","01/18/2015","05",13520.57
"D","01/18/2015","06",13754.6
"D","01/18/2015","07",14001.46
"D","01/18/2015","08",14398.22
"D","01/18/2015","09",14853.55
"D","01/18/2015","10",15273.42
"D","01/18/2015","11",15707.75
"D","01/18/2015","12",15924.54
"D","01/18/2015","13",15924.57
"D","01/18/2015","14",15858.11
"D","01/18/2015","15",15808.64
"D","01/18/2015","16",15848.98
"D","01/18/2015","17",16402.24
"D","01/18/2015","18",17042.71
"D","01/18/2015","19",16643.98
"D","01/18/2015","20",15998.1
"D","01/18/2015","21",15542.99
"D","01/18/2015","22",14576.35
"D","01/18/2015","23",13603.98
"D","01/18/2015","24",12784.96
"D","01/19/2015","01",12160.4
"D","01/19/2015","02",11792.88
"D","01/19/2015","03",11661.95
"D","01/19/2015","04",11638.12
"D","01/19/2015","05",11707.32
"D","01/19/2015","06",12516.3
"D","01/19/2015","07",13564.69
"D","01/19/2015","08",14551.4
"D","01/19/2015","09",15157.04
"D","01/19/2015","10",15785.41
"D","01/19/2015","11",15871.37
"D","01/19/2015","12",15997.69
"D","01/19/2015","13",15932.44
"D","01/19/2015","14",15871.38
"D","01/19/2015","15",15834.92
"D","01/19/2015","16",15948.76
"D","01/19/2015","17",16656.56
"D","01/19/2015","18",17926.11
"D","01/19/2015","19",17885.81
"D","01/19/2015","20",17411.4
"D","01/19/2015","21",16685.59
"D","01/19/2015","22",15617.7
"D","01/19/2015","23",14499.44
"D","01/19/2015","24",13356.13
"D","01/20/2015","01",12887.62
"D","01/20/2015","02",12772.86
"D","01/20/2015","03",12402.34
"D","01/20/2015","04",12249.95
"D","01/20/2015","05",12426.5
"D","01/20/2015","06",13317.18
"D","01/20/2015","07",15316.43
"D","01/20/2015","08",16411.31
"D","01/20/2015","09",16367.45
"D","01/20/2015","10",16176.77
"D","01/20/2015","11",16077.19
"D","01/20/2015","12",15824.8
"D","01/20/2015","13",15651.56
"D","01/20/2015","14",15827.44
"D","01/20/2015","15",15887.16
"D","01/20/2015","16",15868.93
"D","01/20/2015","17",16711.95
"D","01/20/2015","18",18147.06
"D","01/20/2015","19",18283.91
"D","01/20/2015","20",17862.81
"D","01/20/2015","21",17247.69
"D","01/20/2015","22",16179.37
"D","01/20/2015","23",15082.44
"D","01/20/2015","24",13974.4
"D","01/21/2015","01",13511.72
"D","01/21/2015","02",13341.25
"D","01/21/2015","03",13430.72
"D","01/21/2015","04",13501.54
"D","01/21/2015","05",13684.39
"D","01/21/2015","06",14208.71
"D","01/21/2015","07",16131.4
"D","01/21/2015","08",17242.66
"D","01/21/2015","09",17112.04
"D","01/21/2015","10",16813.46
"D","01/21/2015","11",16656.82
"D","01/21/2015","12",16553.9
"D","01/21/2015","13",16393.77
"D","01/21/2015","14",16309.14
"D","01/21/2015","15",16130.6
"D","01/21/2015","16",16267.28
"D","01/21/2015","17",17086.35
"D","01/21/2015","18",18429.09
"D","01/21/2015","19",18489.71
"D","01/21/2015","20",18063.04
"D","01/21/2015","21",17406.38
"D","01/21/2015","22",16266.35
"D","01/21/2015","23",14859.56
"D","01/21/2015","24",13831.71
"D","01/22/2015","01",13493.57
"D","01/22/2015","02",13135.23
"D","01/22/2015","03",12954.22
"D","01/22/2015","04",12957.59
"D","01/22/2015","05",13321.0
"D","01/22/2015","06",14016.09
"D","01/22/2015","07",15616.72
"D","01/22/2015","08",16735.78
"D","01/22/2015","09",16840.33
"D","01/22/2015","10",16660.27
"D","01/22/2015","11",16374.11
"D","01/22/2015","12",16206.03
"D","01/22/2015","13",16023.06
