"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20150915_20150929.csv"
"C","Report for: 09/15/2015 - 09/29/2015"
"C","Report generated: 06/30/2019 12:46:29 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","09/15/2015","01",11038.03
"D","09/15/2015","02",10497.84
"D","09/15/2015","03",10319.32
"D","09/15/2015","04",10246.64
"D","09/15/2015","05",10487.24
"D","09/15/2015","06",11416.92
"D","09/15/2015","07",12843.53
"D","09/15/2015","08",13803.91
"D","09/15/2015","09",14333.04
"D","09/15/2015","10",14780.19
"D","09/15/2015","11",15225.12
"D","09/15/2015","12",15593.09
"D","09/15/2015","13",15890.4
"D","09/15/2015","14",16320.38
"D","09/15/2015","15",16688.91
"D","09/15/2015","16",17009.69
"D","09/15/2015","17",17361.41
"D","09/15/2015","18",17569.0
"D","09/15/2015","19",17340.15
"D","09/15/2015","20",17529.78
"D","09/15/2015","21",16999.09
"D","09/15/2015","22",15699.38
"D","09/15/2015","23",14087.48
"D","09/15/2015","24",12702.94
"D","09/16/2015","01",11957.65
"D","09/16/2015","02",11884.9
"D","09/16/2015","03",11831.75
"D","09/16/2015","04",11699.88
"D","09/16/2015","05",11883.34
"D","09/16/2015","06",12504.36
"D","09/16/2015","07",13549.26
"D","09/16/2015","08",14285.89
"D","09/16/2015","09",14887.22
"D","09/16/2015","10",15484.62
"D","09/16/2015","11",16136.19
"D","09/16/2015","12",16675.15
"D","09/16/2015","13",17111.28
"D","09/16/2015","14",17693.58
"D","09/16/2015","15",18124.34
"D","09/16/2015","16",18515.81
"D","09/16/2015","17",18837.26
"D","09/16/2015","18",18859.45
"D","09/16/2015","19",18465.61
"D","09/16/2015","20",18622.5
"D","09/16/2015","21",17989.47
"D","09/16/2015","22",16629.7
"D","09/16/2015","23",14980.28
"D","09/16/2015","24",13614.31
"D","09/17/2015","01",13366.92
"D","09/17/2015","02",13036.43
"D","09/17/2015","03",12667.68
"D","09/17/2015","04",12432.33
"D","09/17/2015","05",12588.6
"D","09/17/2015","06",13418.73
"D","09/17/2015","07",14496.08
"D","09/17/2015","08",14728.72
"D","09/17/2015","09",15403.31
"D","09/17/2015","10",16035.22
"D","09/17/2015","11",16803.38
"D","09/17/2015","12",17457.53
"D","09/17/2015","13",18028.03
"D","09/17/2015","14",18709.83
"D","09/17/2015","15",19217.7
"D","09/17/2015","16",19597.69
"D","09/17/2015","17",19837.46
"D","09/17/2015","18",19722.64
"D","09/17/2015","19",19183.95
"D","09/17/2015","20",19252.62
"D","09/17/2015","21",18594.64
"D","09/17/2015","22",17222.38
"D","09/17/2015","23",15470.6
"D","09/17/2015","24",13889.34
"D","09/18/2015","01",13132.16
"D","09/18/2015","02",12861.2
"D","09/18/2015","03",12906.59
"D","09/18/2015","04",12682.35
"D","09/18/2015","05",12790.94
"D","09/18/2015","06",13369.78
"D","09/18/2015","07",14307.49
"D","09/18/2015","08",14775.38
"D","09/18/2015","09",15474.18
"D","09/18/2015","10",16154.19
"D","09/18/2015","11",16919.73
"D","09/18/2015","12",17586.58
"D","09/18/2015","13",18064.39
"D","09/18/2015","14",18609.85
"D","09/18/2015","15",18968.83
"D","09/18/2015","16",19242.72
"D","09/18/2015","17",19372.62
"D","09/18/2015","18",19085.8
"D","09/18/2015","19",18401.18
"D","09/18/2015","20",18249.77
"D","09/18/2015","21",17524.94
"D","09/18/2015","22",16375.03
"D","09/18/2015","23",14960.21
"D","09/18/2015","24",13565.04
"D","09/19/2015","01",12483.95
"D","09/19/2015","02",12177.21
"D","09/19/2015","03",12088.43
"D","09/19/2015","04",11870.27
"D","09/19/2015","05",11781.76
"D","09/19/2015","06",12076.68
"D","09/19/2015","07",12119.65
"D","09/19/2015","08",12602.68
"D","09/19/2015","09",13610.33
"D","09/19/2015","10",14328.65
"D","09/19/2015","11",14878.42
"D","09/19/2015","12",15349.73
"D","09/19/2015","13",15732.79
"D","09/19/2015","14",15995.12
"D","09/19/2015","15",16216.27
"D","09/19/2015","16",16460.63
"D","09/19/2015","17",16682.81
"D","09/19/2015","18",16716.99
"D","09/19/2015","19",16484.25
"D","09/19/2015","20",16638.23
"D","09/19/2015","21",16147.31
"D","09/19/2015","22",15324.13
"D","09/19/2015","23",14269.31
"D","09/19/2015","24",13207.22
"D","09/20/2015","01",12348.11
"D","09/20/2015","02",11780.37
"D","09/20/2015","03",11675.35
"D","09/20/2015","04",11728.97
"D","09/20/2015","05",11728.7
"D","09/20/2015","06",12181.52
"D","09/20/2015","07",12792.29
"D","09/20/2015","08",13359.9
"D","09/20/2015","09",13656.17
"D","09/20/2015","10",14120.55
"D","09/20/2015","11",14009.05
"D","09/20/2015","12",14112.89
"D","09/20/2015","13",14292.98
"D","09/20/2015","14",14346.38
"D","09/20/2015","15",14397.68
"D","09/20/2015","16",14533.99
"D","09/20/2015","17",14730.74
"D","09/20/2015","18",15059.84
"D","09/20/2015","19",15067.62
"D","09/20/2015","20",15362.6
"D","09/20/2015","21",14781.2
"D","09/20/2015","22",13640.86
"D","09/20/2015","23",12300.98
"D","09/20/2015","24",11319.05
"D","09/21/2015","01",10636.97
"D","09/21/2015","02",10594.4
"D","09/21/2015","03",10524.13
"D","09/21/2015","04",10718.83
"D","09/21/2015","05",10938.33
"D","09/21/2015","06",11338.9
"D","09/21/2015","07",12463.84
"D","09/21/2015","08",13399.18
"D","09/21/2015","09",13750.5
"D","09/21/2015","10",14001.31
"D","09/21/2015","11",14247.34
"D","09/21/2015","12",14419.74
"D","09/21/2015","13",14458.27
"D","09/21/2015","14",14671.87
"D","09/21/2015","15",14710.68
"D","09/21/2015","16",14769.4
"D","09/21/2015","17",14907.85
"D","09/21/2015","18",15063.21
"D","09/21/2015","19",15226.07
"D","09/21/2015","20",15654.43
"D","09/21/2015","21",15005.73
"D","09/21/2015","22",13851.11
"D","09/21/2015","23",12442.0
"D","09/21/2015","24",11280.83
"D","09/22/2015","01",10524.53
"D","09/22/2015","02",10002.58
"D","09/22/2015","03",10224.15
"D","09/22/2015","04",10305.63
"D","09/22/2015","05",10419.18
"D","09/22/2015","06",11150.6
"D","09/22/2015","07",12643.82
"D","09/22/2015","08",13711.24
"D","09/22/2015","09",14087.97
"D","09/22/2015","10",14378.83
"D","09/22/2015","11",14683.82
"D","09/22/2015","12",14814.47
